TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
Lenovo ThinkPad Edge E530 15,6" NZQM9HV	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i7 3632QM (2, GHz, 6 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	2,45 kg	Garancialeveles 1 év	6 cellás	DVD+-RW DL	Windows 8	Lenovo	Üzleti	Lenovo ThinkPad Edge	Nem	Dolby ® Advanced Audio v2	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	377x245 x29,5-35,3 mm	Fekete	Intel HM77 Express	3 db																																																																																																																																																																														
Toshiba Satellite U940-100	0 Ft	14 " (1366x768 pixel)		Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics 4000	1,72 kg	24 hónap saját	4 cellás	Nincs	Windows 8	Toshiba	Ultrabook	Toshiba Satellite		Realtek ALC259-VC2-CG		Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, USB, 3,5 Jack	MS Pro, SDHC, SDXC, SD	10/100 Mb/s	1 db		Kék		2 db				1	32 GB	Y																																																																																																																																																																								
HP EliteBook 8470w LY542EA	0 Ft	14 " (1600x900 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, 6 MB cache)	4 GB DDR III 1600 MHz	Nem	750 GB 5400 rpm	AMD FirePro M2000	2,25 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP EliteBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338 x 231,3 x 31,8 mm	Ezüst	Intel QM77 Express	2 db																																																																																																																																																																														
MSI GT70 0NC-272LU-MB73618G75 angol billentyűzet	0 Ft	17,3 " (1920x1080 pixel)		Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	8 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	NVIDIA GeForce GT 670M	3,9 kg	Garancialeveles 3 év	9 cellás		Windows 7 Home Premium 64 bit ENG	MSI	Gamer			HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, USB, E-SATA, 3,5 Jack, D-Sub	MMC, MS, MS Pro, SDHC, XD, SDXC, SD		1 db	428 x 288 x 55 mm	Fekete	Intel HM77 Express	3 db																																																																																																																																																																														
MSI GX60 1AC-037NL-IBA1048G75 angol billentyűzet	0 Ft	15,6 " (1920x1080 pixel)		AMD A Series A10-4600 (2,3 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	AMD Radeon HD 7670M	3,5 kg	Garancialeveles 3 év	9 cellás	DVD+-RW DL	Windows 8	MSI	Gamer			HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, USB, E-SATA, 3,5 Jack, D-Sub	MMC, MS, MS Pro, SDHC, XD, SDXC, SD		1 db	395 x 267 x 55 mm	Fekete	AMD AM70 FCH	3 db																																																																																																																																																																														
HP EliteBook Folio 9470m H4P02EA	0 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i5 3427U (2,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 7200 rpm	Intel HD Graphics 4000	1,61 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows 7 Professional 64 bit	HP	Ultrabook	HP EliteBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	USB 3.0, USB, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338x231x18 mm	Ezüst	Intel Q77 Express	2 db																																																																																																																																																																														
HP EliteBook 2570p C5A40EA 12,5"	0 Ft	12,5 " (1366 x 768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	1,63 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP EliteBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	FireWire, USB 3.0, USB, ExpressCard 34mm, E-SATA, 3,5 Jack, Display Port, D-Sub	SD	10/100/1000 Mb/s	1 db	305x209x27 mm	Ezüst	Intel QM77 Express	1 db																																																																																																																																																																														
HP ProBook 6475b C5A55EA	0 Ft	14 " (1600 x 900 pixel)	Nem	AMD A Series A6-4400M (2,7 GHz, 1 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	AMD Radeon HD 7520G	2,03 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional	HP	Üzleti	HP ProBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338 x 231,3 x 34 mm	Fekete	AMD A70M	3 db																																																																																																																																																																														
HP EliteBook 8770w LY567EA	0 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, 6 MB cache)	4 GB DDR III 1600 MHz	Nem	750 GB 7200 rpm	NVIDIA Quadro K3000M	3,47 kg	Garancialeveles 3 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	37x416x272 mm	Ezüst	Intel QM77 Express	2 db																																																																																																																																																																														
Lenovo IdeaPad YOGA 11,6" Narancs 59-361324	0 Ft	11,6 " (1366x768 pixel)	Nem	NVIDIA® Tegra T30 (1,5 GHz, 1 MB cache)	2 GB DDR III 1600 MHz			Intel HD Graphics	1,27 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows RT	Lenovo	Ultrabook	Lenovo IdePad	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	2 db	298 x 204 x 15.6 mm	Narancs			32 GB																																																																																																																																																																													
HP Compaq CQ58-351SH 15,6" D4Y04EA	0 Ft	15,6 " (1366 x 768 pixel)	Nem	AMD E Series E1-1200 (1,4 GHz, 1 MB cache)	4 GB DDR III		750 GB 5400 rpm	AMD Radeon HD 7310	2,45 kg	24 hónap saját	6 cellás	DVD+-RW DL	Free DOS	HP	Általános		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB, 3,5 Jack, D-Sub		10/100 Mb/s	3 db	376x247x35 mm	Fekete	AMD A68M																																																																																																																																																																															
HP EliteBook 8470p H5E20EA 14"	0 Ft	14 " (1600 x 900 pixel)	Nem	Intel Core i7 3540M (3 GHz, 4 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	AMD Radeon HD 7570M	2,07 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP EliteBook	Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338x231x34 mm	Ezüst	Intel QM77 Express	2 db																																																																																																																																																																														
Acer Aspire V5-431-987B4G50Makk_Lin Kék	0 Ft	14 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 987 (1,5 GHz, 2 MB cache)	4 GB DDR III 1066 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	2,1 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Linux	Acer	Multimédia	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	342 x 245 x 20-23 mm	Kék		1 db																																																																																																																																																																														
Acer TravelMate TMP653-MG-53234G50Mtkk_LIN	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	NVIDIA GeForce GT 640M		Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Üzleti	Acer TravelMate	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 h, 802.11 b	Igen	Nem	ExpressCard 54mm, HDMI, USB 3.0, USB, ExpressCard 34mm, E-SATA, 3,5 Jack		10/100/1000 Mb/s	1 db		Fekete	Intel HM77 Express	3 db																																																																																																																																																																														
Dell Latitude E6430s HD Ci5-3427U 4GB 128GB W7P64	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3427U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem		Intel HD Graphics 4000	1,7 kg	Garancialeveles 3 év	3 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Dell	Üzleti	Dell Latitude	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Mini HDMI, USB 3.0, USB, ExpressCard 34mm, 3,5 Jack, D-Sub		10/100/1000 Mb/s	1 db	335 x 223 x 26,8 - 30,9 mm	Szürke	Intel QM77 Express	2 db	128 GB	Angol kiosztású billetyűzettel																																																																																																																																																																												
Toshiba Satellite U920T-10L	0 Ft	12,5 " (1366x768 pixel)		Intel Core i5 3337U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 4000	1,52 kg	24 hónap saját	3 cellás	Nincs	Windows 8	Toshiba	Ultrabook	Toshiba Satellite	Igen	Realtek ALC2802-CG	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, 3,5 Jack	SDHC, SDXC, SD	Nincs		326,5 x 213,0 x 19,9 mm	Barna		2 db	128 GB	Tabletté alakítható				Y																																																																																																																																																																								
Toshiba Portégé Z930-14L + W8Pro DVD	0 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i7 3687U vPro (2,1 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Igen		Intel HD Graphics 4000	1,12 kg	36 hónap saját	8 cellás	Nincs	Windows 7 Professional 64 bit	Toshiba	Ultrabook		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Igen	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, Micro SD, SDHC, SDXC, SD	10/100/1000 Mb/s	2 db	316x227x8,3-15,9 mm	Szürke		1 db	256 GB																																																																																																																																																																													
Toshiba Satellite U940-11F	0 Ft	14 " (1366x768 pixel)		Intel Core i3 3227U (1,9 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics 4000	1,72 kg	24 hónap saját	4 cellás	Nincs	Windows 8	Toshiba	Ultrabook	Toshiba Satellite		Realtek ALC259-VC2-CG		Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, USB, 3,5 Jack	MS Pro, SDHC, SDXC, SD	10/100 Mb/s	1 db		Kék		2 db				1	32 GB	Y																																																																																																																																																																								
Toshiba Satellite P855-33U	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3630QM (2,4 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 640M	2,94 kg	24 hónap saját		Blu-Ray olvasó + DVD SuperMulti	Windows 8	Toshiba	Multimédia	Toshiba Satellite	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack	MMC, Micro SD, SDHC, SDXC, SD	10/100/1000 Mb/s		385x252,5x29,77-33,52 mm	Ezüst		4 db																																																																																																																																																																														
Toshiba Satellite P845T-10C	0 Ft	14 " (1366x768 pixel)		Intel Core i5 3337U (1,8 GHz, 3 MB cache)	8 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 630M	2,05 kg	24 hónap saját		DVD+-RW DL	Windows 8	Toshiba	Multimédia	Toshiba Satellite	Igen	Realtek ALC280Q-GR		Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s		349 x 234 x 24,0 (elöl) / 29,0 (hátul) mm	Ezüst		3 db							750 GB																																																																																																																																																																							
Toshiba Satellite U920T-10K	0 Ft	12,5 " (1366x768 pixel)		Intel Core i3 3227U (1,9 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 4000	1,52 kg	24 hónap saját	3 cellás	Nincs	Windows 8	Toshiba	Ultrabook	Toshiba Satellite	Igen	Realtek ALC2802-CG	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, 3,5 Jack	SDHC, SDXC, SD	Nincs		326,5 x 213,0 x 19,9 mm	Barna		2 db	128 GB	Tabletté alakítható				Y																																																																																																																																																																								
Toshiba Satellite C855D-136	0 Ft	15,6 " (1366x768 pixel)		AMD A Series A8-4500M (3 GHz, 4 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 7640G	2,3 kg	24 hónap saját		DVD+-RW DL	Windows 8	Toshiba		Toshiba Satellite		Realtek ALC269Q-VB6-GR		Igen	802.11 n, 802.11 b, 802.11 g	Igen		HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SDHC, SDXC, SD	10/100 Mb/s	2 db	380,0 x 242,0 x 33,52 mm	Fekete		1 db																																																																																																																																																																														
HP ProBook 6470b H5F02EA	0 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	2,03 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP ProBook	Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338x231x34 mm	Fekete	Intel HM76 Express	2 db																																																																																																																																																																														
HP EliteBook 8470w B5W63AW	0 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 3360M (2,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	AMD FirePro M2000	2,25 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP EliteBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338 x 231,3 x 31,8 mm	Ezüst	Intel QM77 Express	2 db																																																																																																																																																																														
HP ProBook 6570b H5E74EA	0 Ft	15,6 " (1600x900 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	AMD Radeon HD 7570M	2,51 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP ProBook	Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Nem	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	374x251x34 mm	Fekete	Intel HM76 Express	2 db																																																																																																																																																																														
HP ProBook 6570b H5E70EA	0 Ft	15 " (1366 x 768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	2,51 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8 Pro	HP	Üzleti	HP ProBook	Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, Soros (RS232), E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	374x251x34 mm	Fekete	Intel HM76 Express	2 db																																																																																																																																																																														
HP ProBook 6570b H5E77EA	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 3120M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	320 GB 7200 rpm	Intel HD Graphics 4000	2,51 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP ProBook	Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	374x251x34 mm	Fekete	Intel HM76 Express	2 db																																																																																																																																																																														
HP EliteBook Folio 9470m H4P03EA	0 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i5 3437U (1,9 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 7200 rpm	Intel HD Graphics 4000	1,61 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows 7 Professional 64 bit	HP	Ultrabook	HP EliteBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Igen	USB 3.0, USB, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338x231x18 mm	Ezüst	Intel Q77 Express	2 db																																																																																																																																																																														
HP EliteBook Folio 9470m H5E47EA	0 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i5 3437U (1,9 GHz, 3 MB cache)	4 GB DDR III 1600 MHz			Intel HD Graphics 4000	1,61 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows 7 Professional 64 bit	HP	Ultrabook	HP EliteBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Igen	USB 3.0, USB, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	1 db	338x231x18 mm	Ezüst	Intel Q77 Express	2 db	180 GB																																																																																																																																																																													
Asus X502CA-XX010D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics 4000	1,86 kg	24 hónap saját	2 cellás	Nincs	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	383x253x21,7 mm	Fehér	Intel HM76 Express	1 db																																																																																																																																																																														
Dell Latitude E6430 HD+ Ci7-3740QM 8GB 256GB SSD	0 Ft	14 " (1600×900 pixel)	Nem	Intel Core i7 3740QM (2,7 GHz, 6 MB cache)	8 GB DDR III 1600 MHz	Nem		NVIDIA NVS 5200M	2 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Dell	Üzleti	Dell Latitude	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 g	Igen	Nem	ExpressCard 54mm, HDMI, USB 3.0, USB, E-SATA, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	352x241x26,6–32,4 mm	Sötétszürke	Intel QM77 Express	2 db	256 GB																																																																																																																																																																													
Dell Latitude E5430 HD+ AG Ci5-3230M 4GB 500GB Lin	0 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	2,14 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Üzleti		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, HDMI, USB 3.0, USB, E-SATA, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	1 db	350x240x29,90–32,5 mm	Ezüst		2 db																																																																																																																																																																														
Dell Latitude E5430 HD+ Ci5-3230M 4GB 500GB W7P	0 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics 4000	2,14 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Dell	Üzleti		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, HDMI, USB 3.0, USB, E-SATA, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	1 db	350x240x29,90–32,5 mm	Ezüst		2 db																																																																																																																																																																														
Samsung NP530U4E-X01HU 14" Fekete + 24GB SSD	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3337U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	AMD Radeon HD 8750M	1,83 kg	Garancialeveles 2 év	4 cellás	Nincs	Windows 8	Samsung	Ultrabook		Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack		10/100/1000 Mb/s	2 db	338x234x19,5 mm	Szürke	Intel HM65 Express	1 db	24 GB	+ 24 GB SSD																																																																																																																																																																												
Samsung NP450R5E-X03HU 15,6" Piros	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3120M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	NVIDIA GeForce GT 710M	1,99 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Samsung	Ultrabook		Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	376x248x22,9 mm	Fehér		1 db																																																																																																																																																																														
Samsung NP450R5E-X02HU 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3120M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	NVIDIA GeForce GT 710M	1,99 kg	Garancialeveles 2 év	3 cellás	Nincs	Windows 8	Samsung	Ultrabook		Nem	HD Audio	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub		10/100/1000 Mb/s	2 db	376x248x22,9 mm	Fehér		1 db																																																																																																																																																																														
NBK Samsung NP540U4E-K01HU 14"	0 Ft									Garancialeveles 2 év				Samsung																																																																																																																																																																																															
