TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
Lenovo ThinkPad EDGE Twist S230U i5 W8 ULB 2Y	236142 Ft	12.5ʺ HD LED Touch	Core i5 3317U (1700)	4096 (DDR3) MB	500 + 24 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	Windows 8 Pro 64Bit HUN		Új	fekete	4.0	2 db USB 3.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps						ThinkPad	ThinkPad Edge		van	Ultrabook		van						
Lenovo IdeaPad Y510p Black 59-404688 FD	236142 Ft	15.6ʺ Full HD LED AntiGlare	Core i7 4700MQ (2400)	4096 (DDR3) MB	1000 + 8 SSHD GB	2048 MB NVIDIA GF GT755M SLI	nincs optikai meghajtó	3 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	IdeaPad	IdeaPad Y		van	Szupergyors	van	van						
Toshiba Portege Z930-14C 3G W7 3Y ULB	236142 Ft	13.3ʺ HD LED (1366x768)	Core i5 3437U (1900)	6144 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	8 cellás	Windows7 Prof 64Bit HUN		Új	szürke	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Portégé			van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Lenovo IdeaPad Y510p Black 59-390564 FD	236142 Ft	15.6ʺ Full HD LED AntiGlare	Core i7 4700MQ (2400)	4096 (DDR3) MB	1000 + 8 SSHD GB	2048 MB NVIDIA GF GT750M SLI	nincs optikai meghajtó	3 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	IdeaPad	IdeaPad Y		van	Szupergyors	van	van						
Toshiba Satellite P855-33U Silver W8	236142 Ft	15.6ʺ HD LED fényes	Core i7 3630QM (2400)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT640M	Blu-ray Disc (író/olvasó)	3 év	4200 mAh (Li-ion)	Windows 8 64Bit HUN		Új	ezüst	4.0	4 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Satellite	Satellite P		van	Szupergyors	van	van						
HP Folio B0N00AA i5 W7 Pro	240079 Ft	13.3ʺ HD LED (1366x768)	Core i5 2467M (1600)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 3000	nincs optikai meghajtó	3 év	6 cellás	Windows7 Prof 64Bit ENG		Új	ezüst	3.0	1x3.0.1x2.0	4 in 1	angol		Touch pad	b/g/n 300mbps		10/100/1000							van			van						
Dell Inspiron 7737-AA1 Silver i7 W8	244016 Ft	17.3ʺ HD+ Touch (1600x900)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	Intel HD 4400	DVDRW +/-	3 év	4 cellás	Windows 8 64Bit		Új	ezüst	4.0	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Inspiron			van	Szupergyors	van	van						
Dell Inspiron 7537-AG5 Silver i7 W8	251890 Ft	15.6ʺ FHD Touch (1920x1080)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT750M	No ODD	3 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Inspiron			van	Szupergyors	van	van						
Lenovo ThinkPad T430 W7	251890 Ft	14ʺ HD+ LED	Core i5 3320M (2600)	8192 (DDR3) MB	240 SSD GB	Intel HD Graphics 4000	DVDRW	3 év	5200 mAh (Li-ion)	Windows7 Prof 64Bit HUN		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad T	van	van	Multimédia			van					
Lenovo YOGA Silver 59-356588 i5 W8 3Y ULB	275512 Ft	13.3 HD+ Multi Touch	Core i5 3317U (1700)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	1x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps									van	Ultrabook		van						
Fujitsu Lifebook U772 i5 3G Red W7 ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	4096 (DDR3) MB	500 + 32 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Fujitsu Lifebook U772 i5 3G Red W7 D ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	8192 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Fujitsu Lifebook U772 i5 3G Silver W7 ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	4096 (DDR3) MB	500 + 32 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Fujitsu Lifebook U772 i5 3G Silver W7 D ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	8192 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Lenovo YOGA Silver 59-356582 i7 W8 3Y ULB	314882 Ft	13.3 HD+ Multi Touch	Core i7 3517U (1900)	4096 (DDR3) MB	256 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	1x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps									van	Ultrabook		van						
Asus UX31A-C4027H Silver W8 BIM ULB	354252 Ft	13.3ʺ FHD Touch (1920x1080)	Core i7 3517U (1900)	4096 (DDR3) MB	256 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	2 db USB 3.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Mobility	ASUS U		van	Ultrabook		van		Ajándék tok				
Sony Vaio SVD1321L2EW White W8 ULB	377945 Ft	13.3ʺ FHD Touch (1920x1080)	Core i5 4200U (1600)	4096 (DDR3) MB	128 GB SSD GB	Intel HD 4400	nincs optikai meghajtó	2 év		Windows 8 64Bit		Új	fehér	4.0	2 db USB 3.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			GPS	VAIO			Dual Webcamera	Ultrabook		van				Beépített 3G/HSDPA modem		
Lenovo ThinkPad X1 Carbon i7 3G N3K58HV i7 W8 D ULB	472362 Ft	14ʺ LED (1600x900)	Core i7 3667U (2000)	4096 (DDR3) MB	256 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows 8 Pro 64Bit HUN		Új	fekete	4.0	1x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps						ThinkPad	ThinkPad X		van	Ultrabook					van	Beépített 3G/HSDPA modem		
Toshiba Qosmio X70-A-11l Silver W8	472362 Ft	17.3ʺ LED FHD (1920x1080)	Core i7 4700MQ (2400)	32768 (DDR3) MB	1000 + 1000 + 256 SSD GB	3072 MB NVIDIA GF GTX770M	Blu-ray Disc (író/olvasó)	3 év	3000 mAh	Windows 8 Pro 64Bit HUN		Új	ezüst	4.0	4 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van						
