TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
Lenovo IdeaPad S400 Silver 59-350221 FD	94409 Ft	14ʺ HD LED (1366x768)	Pentium 997 (1600)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7450M	nincs optikai meghajtó	2 év	4 cellás	nincs (F)		Új	ezüst	van	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				IdeaPad	IdeaPad S		van	Első noteszgépem		van						
Lenovo IdeaPad G500 Black 59-390525 FD	94409 Ft	15.6ʺ HD LED (1366x768)	Core i3 3110M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Első noteszgépem	van	van						
Toshiba Satellite C55-A-19D Black NoOs	94409 Ft	15.6ʺ HD LED fényes	Core i3 3110M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA				van	Első noteszgépem	van	van						
Acer AS E1-571G-33114G50Mnks Blk LX 2Y	94409 Ft	15.6ʺ HD LED fényes	Core i3 3110M (2400)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)		Új	fekete		3 db	5 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Fujitsu LifeBook A512 VUK SW NOS 3Y Clip12/P	94409 Ft	15.6ʺ HD LED matt	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	3.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Acer Aspire 5742Z-P622G32Mnkk Black LX 6GB	94409 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	6144 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	6 cellás	nincs (L)		Új	fekete		3 db	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire	Aspire 5xxx		van	Első noteszgépem	van	van						
HP 250 i3 H6Q77EA LX HPNVB	94409 Ft	15.6ʺ HD LED matt	Core i3 3110M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/- DL	2 év	6 cellás	nincs (L)		Új	ezüstszürke	4.0	3 db	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
Lenovo IdeaPad G500 Black 59-390091 FD	98346 Ft	15.6ʺ HD LED (1366x768)	Pentium 2020M (2400)	4096 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 8570M	DVDRW SM	1 év*	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Első noteszgépem	van	van						
Asus X550CC-XX299D i3 Blue FD	98346 Ft	15.6ʺ HD LED fényes	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	kék	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
HP 250 H6Q56EA W8	98346 Ft	15.6ʺ HD LED matt	Pentium 2020M (2400)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows 8 64Bit HUN		Új	ezüstszürke	4.0	3 db	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
Fujitsu LifeBook A512 i3 2Y NoOs	98346 Ft	15.6ʺ HD LED matt	Core i3 2348M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	4.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van	van					
