TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
Dell Inspiron 15 INSP3521-33 Notebook	75512 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1017U (Dual-Core, 1.6 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás (40WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,22 kg	3 év					
HP 250 G1 H0W20EA Notebook	77087 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® B960 (Dual-Core, 2.2 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
Acer E1-531-20204G50Mnks NX.M12EU.024 Notebook	77874 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-522-45004G75Mnkk NX.M81EU.022 Notebook	77874 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	381.6 x 256 x 25.3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 8330	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Packard Bell ENME69BMP-28052G50NII NX.C3BES.004	77874 Ft		Intel® Celeron® N2805 (Dual-Core, 1.46 GHz)		10,1" (Multi-Touch, 1366x768, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	256,5 x 184 x 26,75 - 32,2 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera		Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		1,08 kg	2 év nemzetközi, belföldön el- és visszaszállítás	10,1" (Multi-Touch, 1366x768, fényes, LED)				
Acer E1-531-B964G75Maks NX.M12EU.034 Notebook	78661 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® B960 (Dual-Core, 2.2 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Toshiba Satellite C855-24D Fehér Notebook	78661 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1000M (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380.0 x 242.0 x 33.52 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Lenovo IdeaPad G500 59-390048 Notebook	78661 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Toshiba Satellite C55-A-163 Fehér Notebook	78661 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Lenovo IdeaPad G505 59-390261 Notebook	78661 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8330	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Toshiba Satellite C50-A-1FW Notebook	78661 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Acer E1-530-21174G75MNKK NX.MEQEU.002 Notebook	78661 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
HP 255 G1 H6R17EA Notebook	78732 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E2-1800 (Dual-Core, 1.7 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	AMD® A68M Fusion™	AMD Radeon™ HD 7340	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
ASUS X502CA-XX118D Fehér Notebook	80709 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar	500GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)		1,86 kg						
ASUS X502CA-XX125D Notebook	81024 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar	320GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)		1,86 kg						
Acer E1-531-20204G75MNKS NX.M12EU.025 Notebook	81811 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-431-987B4G50Mabb NX.M4MEU.001 Kék Notebook	82598 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 987 (Dual-Core, 1.5 GHz)		14" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	342 x 245 x 22.85 - 24.25 mm	magyar, LED világítással		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	4 cellás (37WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-431-987B4G50Mauu NX.M4PEU.002 Lila	82598 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 987 (Dual-Core, 1.5 GHz)		14" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	342 x 245 x 22.85 - 24.25 mm	magyar, LED világítással		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	4 cellás (37WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-431-987B4G50Mass NX.M4NEU.001 Notebook	82598 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 987 (Dual-Core, 1.5 GHz)		14" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	342 x 245 x 22.85 - 24.25 mm	magyar, LED világítással		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	4 cellás (37WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X502CA-XX086D Fehér Notebook	82598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar	500GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,86 kg						
Lenovo IdeaPad B590 59-374005 Notebook	82598 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 252 x 33.4 mm	magyar teljes méretű, numerikus billentyűkkel		4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	ujjlenyomat olvasó		2.5 kg	2 év nemzetközi, belföldön el- és visszaszállítás		USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS			
Lenovo IdeaPad G505 59-402610 Notebook	82598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8330	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X551CA-SX030D Notebook	82598 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 251 x 30.9 ~36.59 mm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.15 kg						
HP 250 G1 H6Q59EA Notebook	82669 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2020M (Dual-Core, 2.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
Toshiba Satellite C50D-A-10H Notebook	83071 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A4-5000 (Quad-Core, 1.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	AMD® A68M Fusion™	AMD Radeon™ HD 8330	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
ASUS X502CA-XX123D Notebook	83386 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar	500GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,86 kg						
ASUS X502CA-XX124D Notebook	83386 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	383 x 253 x 21,7 mm	magyar	750GB SATA 5400rpm	2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	2 cellás Lithium-polymer	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)		1,86 kg						
Acer E1-530G-21174G50MNKK NX.MEUEU.002 Notebook	83386 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 259 x 24.8 - 29.7 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	NVIDIA® GeForce® GT 720M 1GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X551CA-SX016D Fehér Notebook	83386 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)	4GB DDR3 1600MHz	15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 251 x 30.9 ~36.59 mm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.15 kg						
ASUS X550CA-XO128D Fehér Notebook	84961 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X550CA-XX182D Kék Notebook	84961 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X550CA-XX190D Piros Notebook	84961 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X550CA-XO578D Fehér Notebook	84961 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Acer TMB113-E-21174G50tkk NX.V7PEU.009 Notebook	85669 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 20,95 - 27,35 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, USB 3.0 (1db), Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		1,38 kg	3 év nemzetközi, véletlen sérülésre is, belföldön el- és visszaszállítás					
