TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Háttértár HDD meghajtó méret	Háttértár Tipus	Háttértár Jellemzők	Videókártya Jellemzők	Egyéb technikai paraméretek Billentyűzet	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	Fizikai paraméterek Egyéb leírás	Optikai meghajtó Jellemzők	Operációs rendszer Verzió	Operációs rendszer Nyelv	Videókártya Dedikált memória	Fizikai paraméterek Ajándék kiegészítők	Háttértár SSD / Flash meghajtó méret	OS Jell.
Toshiba Satellite C50-A-14L	7.518891647619E+39 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Nagy fényerejű Toshiba TruBrite®	Intel®	Celeron Dual Core	1005M 1.90 GHz	3. szintű gyorsítótár : 2 MB	4 GB	DDR3 1600 MHz	4096 (1x), bővíthetőség felső határa : 16,384 MB				Intel	HD Graphics	Alaplapi integrált			2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Szerviz, Nemzetközi	technológia : lítiumionos maximális üzemidő : akár 3 óra 30 perc (Mobile Mark™ 2012)	Nincs		Általános otthoni/irodai	Notebook / Laptop	Új	Szálcsiszolt, matt fekete bevonat, fekete billentyűzet	Nem	500 GB	HDD	meghajtóforgás : 5,400 fordulat/perc	memória mennyisége : akár 1 739 MB megosztott memória 4 GB telepített rendszermemóriából (64 bites Windows® 7 operációs rendszer esetén) memória típusa : megosztott	Numerikus billentyűzet, Magyar	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Lapos, matt fekete billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók gyártó : Realtek ALC269Q-VB5-GR 1 × külső mikrofon1 × sztereó fejhallgató	VGA, Memóriakártya olvasó, Webkamera, USB 3.0, Bluetooth, HDMI	Bluetooth® 4.0 + LE 1 × külső monitor2 × USB 2.01 × HDMI-kimenet, 1080p jelformátum támogatása1 × USB 3.0	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	0,9MP HD webkamera (1280 x 720) mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Külön vásárolható		Sz x H x M : 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mmmin. 2,3 kg									
Acer Aspire E1-530-21172G50MNKK_LIN	7.5425438930467E+35 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	CineCrystal™	Intel®	Pentium Dual Core	2117U - 1,80GHz	2 MB Cache	2 GB	DDR3 1600 MHz	max. 8GB, 2 soDIMM hely				Intel	HD Graphics	Alaplapi integrált		2.35 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4-cellás Lithium Ion 2500 mAhmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	Serial ATA 5400 rpm		Magyar, Numerikus billentyűzet	105-/106-/109-gombos FineTouch™	Multi-touch TouchPad	Sztereo hangszóró, mikrofonCombo audio jack	VGA, Bluetooth, USB 3.0, Webkamera, HDMI, Memóriakártya olvasó	Bluetooth 4.0, HDMI, VGA, 2*USB 2.0, 1*USB 3.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 256 (D) x 12.07/25.3 (H) mm		8X DVD-Super Multi double-layer							
HP-Compaq CQ58-351SH	7.5819138966856E+25 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	BrightView	AMD	E-Series	E1-1200 1.4 GHz	1 MB L2 gyorsítótár	4 GB		1 x 4 GB DDR3 Bővítőhelyek száma: 2 DIMM8 GB DDR3 memóriára bővíthető				AMD/ATI	Radeon HD 7310	Alaplapi integrált		2,45 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	6 cellás lítiumion	DVD író	AMD A68M FCH	Általános otthoni/irodai, Multimédiás	Notebook / Laptop	Új	Fekete hátlap	Nem	750 GB	HDD	5400 f/p SATA	különálló szintű (legfeljebb 1,92 GB megosztott)		Teljes méretű, textúrázott fekete	Érintőtábla többérintős kézmozdulat-támogatással és be-/kikapcsoló gombbal	Altec Lansing hangszórók1 fejhallgató-kimenet1 mikrofonbemenet	HDMI, Bluetooth, VGA, Memóriakártya olvasó, Webkamera	Bluetooth1 VGA1 HDMI3 USB 2.0	Többformátumú digitális kártyaolvasó biztonságos memóriakártyákhoz és multimédiás kártyákhoz	HP TrueVision HD webkamera beépített digitális mikrofonnal	WLAN	802.11b/g/nWLAN10/100 BASE-T Ethernet LAN	Külön vásárolható	FreeDOS	37,6 x 24,7 x 3,58 cm	Fekete édesgyökér	SuperMulti DVD±R/RW meghajtó kétrétegű támogatással							
Asus X502CA-XX126D	7.6134413881648E+39 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Celeron Dual Core	1007U 1,5 GHz	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fehér hátlap	Nem	320 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Asus X502CA-XX075D	7.7158033911897E+34 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Pentium Dual Core	2117U 1,8 GHz	2MB cache	4 GB	DDR3 1333 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Asus X502CA-XX125D	7.8417873881648E+39 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Pentium Dual Core	2117U 1,8 GHz	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	320 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Toshiba Satellite C55-A-163	9.0476189668558E+39 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Nagy fényerejű Toshiba TruBrite®	Intel®	Celeron Dual Core	1005M 1.90 GHz	3. szintű gyorsítótár : 2 MB	4 GB	DDR3 1600 MHz	1x4096, bővíthetőség felső határa : 16,384 MB				Intel	HD Graphics	Alaplapi integrált		min. 2,3 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Szerviz, Nemzetközi	technológia : lítiumionos maximális üzemidő : akár 3 óra 30 perc (Mobile Mark™ 2012)	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Csillogó fehér felület, fehér billentyűzet	Igen	750 GB	HDD	5,400 fordulat/perc	akár 1 739 MB megosztott memória 4 GB telepített rendszermemóriából (64 bites Windows® 7 operációs rendszer esetén) memória típusa : megosztott	Magyar, Numerikus billentyűzet	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Matt fehér billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók gyártó : Realtek ALC269Q-VB5-GR 1 × külső mikrofon 1 × sztereó fejhallgató	HDMI, Webkamera, Memóriakártya olvasó, VGA, Bluetooth, USB 3.0	Bluetooth® 4.0 + LE 1 × külső monitor, 1 × HDMI-kimenet, 1080p jelformátum támogatása2 × USB 2.0, 1 × USB 3.0	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	0,9 megapixel HD webkamera(1280 x 720) mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Külön vásárolható		Sz x H x M : 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm		Univerzális kétrétegű, vékony DVD-meghajtó							
Acer Aspire E1-530-21174G75Mnkk	3.9293046664856E+40 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	CineCrystal™	Intel®	Pentium Dual Core	2117U - 1,80GHz	2 MB Cache	4 GB		DDR3, max. 8GB, 2 soDIMM				Intel	HD Graphics	Alaplapi integrált		2.35 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4-cellás Lithium Ion 2500 mAhmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	750 GB	HDD	Serial ATA		Numerikus billentyűzet, Magyar	105-/106-/109-gombos FineTouch™	Multi-touch TouchPad	Sztereo hangszóró, mikrofonCombo audio jack	HDMI, Memóriakártya olvasó, VGA, USB 3.0, Webkamera	HDMI, VGA, 2*USB 2.0, 1*USB 3.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linpus Linux	381.6 (W) x 256 (D) x 12.07/25.3 (H) mm		8X DVD-Super Multi double-layer							
Acer Aspire E1-522-45004G75MNKK	9.0476189304666E+44 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal™Super-slim design	AMD	A4-Series	A4-5000 - 1,50GHz	2MB cache, Quad-Core	4 GB	DDR3 1600 MHz	1 x 4GB, 2 soDIMM slot / max. 8GB				AMD/ATI	Radeon™ HD 8330	Alaplapi integrált		2.4 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4 cellás Lithium Ion, 37 Wh 2500 mAh max. 3,5h	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	750 GB	HDD	Serial ATA 2.5" 5400rpm		Magyar, Numerikus billentyűzet	103-/104-/107 gombos FineTip	Multi-gesture touchpad	High-definition audio 2.0 Hangszóró, digitális mikrofonCombo audio jack	Bluetooth, USB 3.0, Webkamera, HDMI, Memóriakártya olvasó, VGA	Bluetooth® 4.0+HS2x USB 2.0, USB 3.0, VGA, HDMI	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera 1280 x 720	WLAN	Gigabit LAN / Acer Nplify 802.11b/g/n WiFi	Külön vásárolható	Linux	382 (W) x 256 (D) x 13.4/25.3 (H) mm		DVD író							
HP-Compaq 250 G1	9.0476189668558E+36 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	csillogásmentes	Intel®	Core i3	3110M 2.4 GHz	3 MB gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	(1 x 4 GB) Legfeljebb 6 GB 2 SODIMM hely				Intel	HD Graphics	Alaplapi integrált		Min. 2,45 kg(a súly a konfigurációtól függően változik)	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás (47 Wh) lítiumion	DVD író	Mobile Intel® HM75 Express	Általános otthoni/irodai	Notebook / Laptop	Új	Ezüst hátlap	Igen	500 GB	HDD	5400 f/p SATA HP 3D DriveGuard			Teljes méretű billentyűzet	Érintőtábla 2 részes választógombbal, bal és jobb kattintási funkciókkal; Több érintést támogató mozdulatok	Nagyfelbontású hang támogatásaBeépített Altec Lansing sztereó hangszóróBeépített mikrofonSztereó fejhallgató-/vonali kimenetSztereó mikrofonbemenet	Bluetooth, Memóriakártya olvasó, VGA, Webkamera, HDMI	Bluetooth 4.03 USB 2.01 HDMI, 1 VGA	1 Secure Digital	HD webkamera	WLAN	Ralink 802.11b/g/n (1x1) WifiRealtek Ethernet (10/100/1000)	Windows 8	Recovery Manager telepítő Cyberlink Youcam DE Cyberlink Power DVD (csak bizonyos modellek esetén érhető el) Symantec Norton ™ Internet Security 2013 Windows 8 – első lépések	37,6 x 24,7 x 3,58 cm		DVD+/-RW SuperMulti DL	64 bit	Választható, Angol, Magyar					
Asus X502CA-XX118D	7.9126533911897E+34 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Pentium Dual Core	2117U - 1,80GHz	2MB cache	4 GB	DDR3 1333 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fehér hátlap	Nem	500 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Asus X551CA-SX030D	8.0464798966856E+30 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		Intel®	Pentium Dual Core	2117U - 1,80GHz	2M Cache	4 GB	DDR3 1600 MHz	Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2.15 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4 cellás 2600mAh 37Whr	DVD író	Mobile Intel® HM70 Express	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400rpm SATA		Numerikus billentyűzet, Magyar			SonicMaster sztereo hangszórók, mikrofonMaxxAudio támogatás1 x COMBO audio jack	Memóriakártya olvasó, HDMI, USB 3.0, Webkamera	1 x USB 3.0 port, 1 x USB 2.0 port, 1 x HDMI	SD/ MMC kártyaolvasó	720p HD Webkamera	WLAN	802.11bgn WLAN10/100 Base T LAN	Külön vásárolható	FreeDOS	380 x 251 x 30.9 ~36.59 mm (WxDxH)		Super-Multi DVD							
Acer Aspire V5-431-987B4G50Mabb_Lin	8.0543538951893E+30 Ft	14,1 "	1366x768 WXGA HD	LED, Fényes	Super-slim (200-nit) Acer CineCrystal™	Intel®	Pentium Dual Core	987B ULV 1,5GHz	2 MB cache	4 GB		DDR3, max. 8GB				Intel	HD Graphics	Alaplapi integrált		2,1 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37 Wh 2500 mAh 4-cellás Li-ionmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Kék hátlap	Nem	500 GB	HDD	SATA		Magyar, Háttérvilágításos	Háttérvilágítású billentyűzet86-/87-/91-gombos Acer FineTip	Multi-gesture Touchpad	Dolby® Advanced Audio® v2sztereo hangszórók, mikrofonHeadphone/speaker jackMicrophone-in jack	HDMI, USB 3.0, Bluetooth, VGA, Webkamera, Memóriakártya olvasó	Bluetooth 4.0, 2 x USB 2.0 és 1 x USB 3.0, 1 x VGA/LAN Combo, 1 x HDMI	Kártyaolvasó: SD™ Card, MultiMediaCard™ (MMC)	Acer Crystal Eye 720p HD Webkamera 1280 x 1024	WLAN	Acer InviLink™ Nplify™ 802.1 a/g/n Wi-Fi LAN: Gigabit Ethernet	Külön vásárolható	Linux	342 (W) x 245 (D) x 20/23 (H) mm		8X DVD-Super Multi double-layer							
Asus X502CA-XX124D	8.085819647619E+35 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Pentium Dual Core	2117U 1,8 GHz	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Asus X502CA-XX123D	8.0858498966856E+29 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Pentium Dual Core	2117U 1,8 GHz	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	SATA 5400rpm		Numerikus billentyűzet, Magyar			2.0 Hangszóró	HDMI, Bluetooth, VGA, Memóriakártya olvasó, Webkamera, USB 3.0	Bluetooth 4.0, VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn WLAN	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Packard Bell EasyNote ME69BMP-28052G50NII	8.1015978953473E+25 Ft	10,1 "	1366x768 WXGA HD	LED, Érintőképernyő	multitouch	Intel®	Celeron Dual Core	N2805 - 1,46Ghz	1MB cache	2 GB	DDR3 1066 MHz					Intel	HD Graphics	Alaplapi integrált		1,08 kg	1 év (1 év az akkura és töltőre)	El- és visszaszállításos	3 cellás	Nincs		2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Ezüst hátlap	Nem	500 GB	HDD	SATA 5400 rpm		Magyar			2.0 Hangszóró	Bluetooth, Memóriakártya olvasó, VGA, HDMI, Webkamera	Bluetooth 4.0, VGA, HDMI, USB 2.0*2	SD kártyaolvasó	720p Webkamera	WLAN	WiFi 802.11bgn	Windows 8	Norton™ Internet Security 2013	256,5 x 184 x 26,75-32,2 mm			32 bit	Magyar, Választható, Angol					
Asus X550CA-XO128D	8.251173647619E+35 Ft	15,6 "	1366x768 WXGA HD	Matt, LED		Intel®	Pentium Dual Core	2117U - 1,80GHz	2 MB cache	4 GB	DDR3 1600 MHz	2 slot / max. 8GB				Intel	HD Graphics	Alaplapi integrált		2.3 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4-cellás: 2600 mAh 37 wattórás	DVD író	Intel® HM76 lapkakészlet	Játék/3D grafika	Notebook / Laptop	Új	Fehér hátlap	Nem	500 GB	HDD	5400 rpm SATA		Numerikus billentyűzet, Magyar			Beépített hangszóró és mikrofonSonicMaster1 db COMBO audio jack-csatlakozó	USB 3.0, Webkamera, HDMI, Bluetooth, Memóriakártya olvasó, VGA	Bluetooth 4.01 db VGA csatlakozó/Mini D-sub 15 érintkezőlábas csatlakozó külső monitorhoz1 db USB 3.0 csatlakozó 1 db USB 2.0 csatlakozó1 db HDMI	3 -in-1 kártyaolvasó (SD/ SDHC/ SDXC)	720p HD webkamera	WLAN	WiFi 802.11 b/g/nLAN 10/100/1000BaseT	Külön vásárolható	FreeDOS	38.0 x 2.51 x 2.48 ~3.17 cm (szélesség x mélység x magasság)		Super-Multi DVD							
Asus X550CA-XX182D	8.251173647619E+35 Ft	15,6 "	1366x768 WXGA HD	Fényes		Intel®	Pentium Dual Core	2117U - 1,80GHz	2 MB cache	4 GB	DDR3 1600 MHz	2 slot / max. 8GB				Intel	HD Graphics	Alaplapi integrált		2.3 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4-cellás: 2600 mAh 37 wattórás	DVD író	Intel® HM76 lapkakészlet	Játék/3D grafika	Notebook / Laptop	Új	Kék hátlap	Nem	500 GB	HDD	5400rpm SATA		Numerikus billentyűzet, Magyar			Beépített hangszóró és mikrofonSonicMaster1 db COMBO audio jack-csatlakozó	USB 3.0, Webkamera, HDMI, Bluetooth, Memóriakártya olvasó, VGA	Bluetooth 4.01 db VGA csatlakozó/Mini D-sub 15 érintkezőlábas csatlakozó külső monitorhoz1 db USB 3.0 csatlakozó 1 db USB 2.0 csatlakozó1 db HDMI	3 -in-1 kártyaolvasó (SD/ SDHC/ SDXC)	720p HD webkamera	WLAN	WiFi 802.11 b/g/nLAN 10/100/1000BaseT	Külön vásárolható	FreeDOS	38.0 x 2.51 x 2.48 ~3.17 cm (szélesség x mélység x magasság)		Super-Multi DVD							
Asus X550CA-XX190D	8.2512038966856E+30 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		Intel®	Pentium Dual Core	2117U - 1,80GHz	2 MB cache	4 GB	DDR3 1600 MHz	2 slot / max. 8GB				Intel	HD Graphics	Alaplapi integrált		2.3 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4-cellás: 2600 mAh 37 wattórás	DVD író	Intel® HM76 lapkakészlet	Általános otthoni/irodai	Notebook / Laptop	Új	Vörös / Piros hátlap	Nem	500 GB	HDD	5400 rpm SATA		Numerikus billentyűzet, Magyar			Beépített hangszóró és mikrofonSonicMaster1 db COMBO audio jack-csatlakozó	USB 3.0, Webkamera, HDMI, Bluetooth, Memóriakártya olvasó, VGA	Bluetooth 4.01 db VGA csatlakozó/Mini D-sub 15 érintkezőlábas csatlakozó külső monitorhoz1 db USB 3.0 csatlakozó 1 db USB 2.0 csatlakozó1 db HDMI	3 -in-1 kártyaolvasó (SD/ SDHC/ SDXC)	720p HD webkamera	WLAN	WiFi 802.11 b/g/nLAN 10/100/1000BaseT	Külön vásárolható	FreeDOS	38.0 x 2.51 x 2.48 ~3.17 cm (szélesség x mélység x magasság)		Super-Multi DVD							
Lenovo IdeaPad M490s	8.2669833881648E+39 Ft	14,1 "	1366x768 WXGA HD	Matt, LED	Antiglare	Intel®	Pentium Dual Core	987 1,5GHz	2M Cache	4 GB	DDR3 1600 MHz	1*4GB				nVidia	Geforce 710M 1GB DDR3	Dedikált, saját memóriával			2 év (1 év az akkura és töltőre)	El- és visszaszállításos	4 cellás 32WH Lithium-ion (Li-ion) akkumulátor	Nincs		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400rpm			6 soros Lenovo billentyűzet, Fn gomb		Combo audio jack csatlakozó	Ujjlenyomat olvasó, USB 3.0, Webkamera, Memóriakártya olvasó, HDMI	USB 2.0 csatlakozóUSB 3.0-csatlakozókHDMI csatlakozó	Négy az egyben digitális médiakártya-olvasó	HD 720p Webkamera Ujjlenyomat olvasó	WLAN	Intel 2230BGN Wi-fi100/1000 Mbps Ethernet	Külön vásárolható	DOS						1024 MB				
Acer Aspire E1-530G-21174G50Mnkk	1.0392931893047E+31 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Acer Cinecrystal	Intel®	Pentium Dual Core	2117U 1,8 GHz	2 MB Cache	4 GB	DDR3 1333 MHz	DDR3, max. 8GB, 2 soDIMM				nVidia	GeForce GT 720M 1GB	Dedikált, saját memóriával		2.35 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4-cellás Lithium Ion 37 Wh 2500 mAhmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	Serial ATA 5400rpm		Magyar, Numerikus billentyűzet	105-/106-/109-gombos FineTouch™	Multi-touch TouchPad	Sztereo hangszóró, mikrofonCombo audio jack	VGA, HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth	Bluetooth, HDMI, VGA, 2*USB 2.0, 1*USB 3.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Windows 8	Microsoft Office próbaverzióAcer clear.fi MediaAcer clear.fi PhotoAcerCloudAcerCloud DocsCyberlink® MediaEspressoNero BackItUp 12 EssentialsSpotifyMcAfee® Internet Security Suite próbaverzióNorton™ Online BackupAcer Identity CardAcer Power ManagementAcer Recovery ManagementAcer UpdaterDevice Fast-LaneLaunch ManagerSoluto	381.6 (W) x 256 (D) x 12.07/25.3 (H) mm		8X DVD-Super Multi double-layer	64 bit	Angol, Magyar, Választható	1024 MB				
Lenovo Ideapad S510P	1.7266904041319E+36 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Core i7	4500U - 1,80GHz	max. 3,00GHz / 4MB cache	8 GB	DDR3 1600 MHz	2 slot / max. 16GB				nVidia	GeForce® GT 720M 2GB	Dedikált, saját memóriával		2,6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	4 cellás	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	Hibrid (HDD + SSD)	5400rpm HDD + SSD cache		Magyar, Numerikus billentyűzet			Dolby® Advanced Audio™	USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth, HDMI	Bluetooth 4.0, HDMI, 1x USB 2.0, 2x USB 3.0	2 az 1ben kártyaolvasó	720p Webkamera	WLAN	10/100 LAN / 802.11bgn WiFi	Külön vásárolható	FreeDOS	380 x 259 x 24,9 mm	Video megtekintése ->	DVD-RW supermulti DL			2048 MB		8 GB		
