TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
Acer V5-551-64456G75Mass_Lin Notebook	99205 Ft	15.60 inch	WXGA (1366x768)	AMD A series processzor A6-4455M	2100 MHz	6144 MB	DDR3 SDRAM	750 GB	5400 rpm	AMD Radeon™ HD 7500G	- MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	HD Webcamera	új				
Samsung Galaxy Note 10.1 Notebook	99205 Ft	10.10 inch	WXGA (1280x800)	ARM Cortex processzor Cortex A9 Quad Core	1400 MHz	2048 MB	DDR3 SDRAM			-	- MB	0.58 Kg	2 év	7000 mAh	-	Android 4.0 ICS	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	257.8 x 175.3 x 8.9 mm	egyéb	Érintőképernyő, Flash memória, 16GB, Front Camera, Back Camera	új				
Acer V3-731-B9804G50Maii_Lin Notebook	101640 Ft	17.30 inch	HD WXGA (1600x900) LED	Intel&reg Pentium™ Dual-Core processzor B980		4096 MB	DDR3 1333MHz	500 GB	5400 rpm	-	- MB		2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C855-12X Notebook	102630 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Radeon™ HD 7610M	1024 MB	2.30 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MMC, mini SD, micro SD, SDHC, SDXC	380.0 x 242.0 x 33.52 mm	magyar	HD Webcamera	új				
Acer V5-171-323C4G50ASS_Lin Notebook	103290 Ft		WXGA (1366x768)	Intel® Core™ i3 processzor 2375M		4096 MB	DDR3 1600MHz	500 GB	5400 rpm	-	- MB	1.30 Kg	2 év	4 mAh	opció	Linux		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
HP 655 15.6" HD E2-1800 Notebook	103290 Ft	15.60 inch	HD+ WUGA (1600x900) LED	AMD E series processzor E2-1800	1700 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	ATI Radeon Xpress Series	- MB		2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó, ExpressCard(54mm)		magyar	Webcamera	új				
HP G7-2250SH Notebook	103929 Ft	17.30 inch	HD+ WUGA (1600x900) LED	AMD A series processzor A4-4300M	2500 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7420G	- MB	2.98 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer E1-571G-33114G50Makss_Lin Notebook	105504 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	nVidia GT 710	2048 MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C55-A-127 Notebook	107079 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP Sleekbook 15-B000SH Notebook	107690 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3217U	1800 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.10 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP Sleekbook 15-B001SH Notebook	107866 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3217U	1800 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	NVIDIA® GeForce® GT630M	1024 MB	2.10 Kg	2 év	4 mAh	opció	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0, VGA	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C855-2FL Notebook	107866 Ft	15.60 inch	HD WXGA (1366x768)	Intel Pentium processzor B960	2200 MHz	4096 MB	DDR3 1333MHz	1000 GB	5400 rpm	Intel® HD Graphics	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung NP300E5C Notebook	110385 Ft	15.60 inch	WXGA (1366x768) LED	Intel Pentium processzor B970	2300 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	NVIDIA® GeForce® GT 620M	1024 MB	2.34 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó	367.9 x 243 x 29 ~ 34.9mm mm	magyar	HD Webcamera	új				
Acer E1-571G-32344G75Maks_LIN Notebook	109890 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 2348	2300 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	nVidia GT 710	2048 MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo Ideapad Z585A Notebook	115170 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A8-4500M	1900 MHz	4096 MB	DDR3 1333MHz	1000 GB	5400 rpm	AMD Radeon™ HD 7670M	2048 MB	2.50 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g	opció	4xUSB 2.0, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP Pavilion 15-E003SH Notebook	110228 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.35 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C855D-15V Notebook	110228 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E8-4500	2100 - 3000 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	AMD Radeon™ HD 7610M	1024 MB	2.30 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP Pavilion dm1-4200SH Notebook	112591 Ft	11.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E1-1200 Dual Core	1400 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Radeon™ HD 7310	- MB	1.60 Kg	1 év	6 mAh	opció	Windows 7 Home Premium 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C855-2GJ Notebook	114165 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2348M	2300 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7610M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C55-A-199 Notebook	114165 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Asus X55VD-SX004H Notebook	114400 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	1024 MB	2.53 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	378 x 253 x 26,2-35,8 mm mm	magyar	Webcamera	új				
HP 630 Notebook	116490 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2310M	2100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 3000	- MB	2.53 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer E1-571-33118G1TMnks_Lin Notebook	118102 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V3-551G-84508G75Maii_Lin Notebook	120890 Ft		WXGA (1366x768) LED	AMD A series processzor A8-4500M	2800 MHz	8196 MB	DDR3 1333MHz	750 GB	5400 rpm	Radeon™ HD 7670M	2048 MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN b/g	802.11b/g	opció	USB 2.0, VGA, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer TMP253-MG-32344G75Maks Notebook	122827 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 2348M	2400 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	nVIDIA GeForce GT 710M	2048 MB	2.40 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V5-171-53334G50ass_Lin Notebook	122827 Ft	11.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3337UB	1800 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® UMA	- MB	1.38 Kg	2 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer E1-571G-53234G75Maks_Lin Notebook	123614 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	nVidia GT 710	2048 MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Gigabyte S1082 Win8 SST+ Billentyűzet Notebook	123614 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Celeron™ Dual Core processzor 1037U	1800 MHz	2048 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® HD Graphics	- MB	0.85 Kg	1 év	4000 mAh	-	Windows 8 SST		igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, 2xUSB 2.0, HDMI	SD, Memóriakártya-olvasó	270 x 173 x 14.94 mm	egyéb	Webcamera, Érintőképernyő	új				
HP Pavilion G6 Notebook	125290 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	Intel HD Graphics 3000	- MB	2.48 Kg	2 év	6 mAh	DVD+-RW	Windows 7 Home Premium 64bit		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer TMP243-MG-33114G50Mtkk_LIN Notebook	126764 Ft	14.00 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	NVIDIA® GeForce® GT630M	- MB	2.40 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C855D-136 Notebook	126764 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E8-4500	2100 - 3000 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	AMD Radeon™ HD 7610M	1024 MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Lenovo Ideapad B580 Notebook	127930 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	1024 MB	2.70 Kg	2 év	6 mAh	DVD+-RW	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Ujjlenyomat olvasó	új				
HP Sleekbook 15-B101SH Notebook	129126 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3227U	1900 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT630M	1024 MB	2.10 Kg	2 év	4 mAh	opció	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer AS5742G-384G50Mnkk_Lin Notebook	131670 Ft		WXGA (1366x768) LED	Intel® Core™ i3 processzor 380M	2530 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 540M	1024 MB	2.60 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN b/g	802.11b/g	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer TMP253-M-33124G50Mnks_w78pro Notebook	131890 Ft		WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120	2400 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	-	- MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN b/g	802.11b/g	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer Aspire S3-371-33224G50add_Lin Notebook	135425 Ft	13.30 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3227U	1900 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 3000	- MB	1.49 Kg	2 év	3 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 3.0, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V5-171-53334G50ass Notebook	135425 Ft	11.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3337UB	1800 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® UMA	- MB	1.38 Kg	2 év	4 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V5-572-53338G50aii_Lin Notebook	135425 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3337U	2700 MHz	8192 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Billentyűzet megvilágítás, HD Webcamera	új				
Gigabyte S1082 Win8 SST + Billentyűzet Notebook	135425 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Celeron™ Dual Core processzor 1037U	1800 MHz	4096 MB	DDR3 SDRAM			Intel® HD Graphics	- MB	0.79 Kg	1 év	4000 mAh	-	Windows 8 SST	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, 2xUSB 2.0, HDMI	SD, Memóriakártya-olvasó	270 x 173 x 14.94 mm	egyéb	Webcamera, Érintőképernyő, Flash memória, 64GB	új				
Toshiba Satellite L855-14G Notebook	136213 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	AMD Radeon™ HD7670	2048 MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 Professional 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
HP G6-2164SH Notebook	137000 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7670M	1024 MB	2.48 Kg	2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Asus LED SIPS+ TF600T-1B031R - VivoTab RT -RO125X Notebook	142890 Ft		HD WXGA (1366x768)	NVIDIA® Tegra™ processzor Tegra 3	1300 MHz	2048 MB	DDR3 1333MHz	64 GB		-	- MB		1 év		-	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro HDMI	Memóriakártya-olvasó	262,5 x 170,9 x 8,3 mm	magyar	Webcamera, HD Webcamera	új				
Acer Iconia W510 Key Dock + Bőrtok Notebook	144087 Ft	10.00 inch	Multi-Touch (1366x768) LED	Intel® CloverTrail processzor Z2760 Dual Core	1800 MHz	2048 MB	DDR2 800MHz			-	- MB		1 év	3650 mAh	-	Windows 8 ML	32 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, Micro USB	micro SD, Memóriakártya-olvasó	258.8 x 167.5 x 8.8 mm	magyar	Érintőképernyő, Front Camera, Back Camera, Flash memória, 32GB, Keyboard Dock	új				
Acer V3-471G-53238G75Madd_Lin Notebook	144100 Ft	14.00 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230M	2800 MHz	8196 MB	DDR3 1333MHz	750 GB	5400 rpm	Radeon™ HD 7670M	2048 MB	2.40 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN b/g	802.11b/g	opció	USB 2.0, VGA, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Acer Iconia W510-27602G06ass Notebook	144874 Ft	10.00 inch	Multi-Touch (1366x768) LED	Intel® CloverTrail processzor Z2760 Dual Core	1800 MHz	2048 MB	DDR2 800MHz			-	- MB	1.26 Kg	1 év	3540 mAh	-	Windows 8 ML	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB, USB 2.0, HDMI	micro SD, Memóriakártya-olvasó	258.5x167.5x18.7 mm	magyar	Érintőképernyő, Flash memória, 64GB, Front Camera, Back Camera	új				
Acer Iconia W511-27602G06ass 3G + Office 2013 H&S Notebook	144874 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760 Dual Core	1800 MHz	2048 MB	DDR2 800MHz			-	- MB	1.26 Kg	1 év	3540 mAh	-	Windows 8 ML	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, Micro USB	micro SD, Memóriakártya-olvasó	258.5x167.5x18.7 mm	magyar	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB, GPS	új				
HP Pavilion 15-E010SH Notebook	145661 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230M	2600 MHz	8192 MB	DDR3 1600MHz	1000 GB	5400 rpm	AMD Radeon HD 8670M	2048 MB	2.35 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Lenovo ThinkPad Edge E430c Notebook	148811 Ft	14.00 inch	HD WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	1024 MB	2.08 Kg	2 év	6 mAh	DVD+-RW Dual Layer	FreeDOS		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0, eSATA			magyar	Webcamera	új				
Acer TMP633-M-33114G50tkk_LIN Notebook	151961 Ft	13.30 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110	2400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.90 Kg	3 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer V5-132P-3322Y4G50nss Notebook	151961 Ft	11.60 inch	Multi-Touch (1366x768) LED	Intel® Core™ i3 processzor 3229Y	1400 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	1.00 Kg	2 év	3 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó, SD		magyar	HD Webcamera	új				
Lenovo Ideapad Z580G Notebook	153560 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 MHz	4096 MB	DDR3 1333MHz	1000 GB	5400 rpm	NVIDIA® GeForce® GT630M	2048 MB		2 év	6 mAh	DVD+-RW	Windows 8 Professional 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g	opció	4xUSB 2.0, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Sony Vaio SVE14A2M1EB Notebook	174570 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	AMD Radeon™ HD 7730M	1024 MB	2.30 Kg	2 év		DVD+-RW Dual Layer	Windows 8 Professional 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Fujitsu Lifebook AH552 Notebook	189240 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.20 Kg	2 év	8 mAh	DVD-RW SuperMulti DL	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Bluetooth, HDMI, eSATA, 1xUSB 3.0	SD	378 x 252 x 25,4 mm	magyar	HD Webcamera	új				
Samsung Ativ XE500 Series 5 Notebook	159047 Ft	11.60 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760	1500 MHz	2048 MB	DDR2 800MHz			Intel® HD Graphics	- MB	0.75 Kg	2 év	7800 mAh	-	Windows 8 64bit HUN	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	HDMI, USB 2.0	micro SD, Memóriakártya-olvasó	296 x 184 x 9.9 mm	magyar	Érintőképernyő, Flash memória, 64GB, Front Camera, Back Camera	új				
