TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
HP 655 Notebook	77990 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800	1700 MHz	2048 MB	DDR3 1600MHz	320 GB	5400 rpm	Radeon™ HD 7340	- MB	2.45 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új	Táska			
HP Compaq CQ58-351SH Notebook	78732 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E1-1200 Dual Core	1400 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7310	- MB		2 év	6 mAh	DVD+-RW	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI			magyar	Webcamera	új				
Acer V5-431-987B4G50Mabb_Lin Notebook	84244 Ft	14.00 inch	WXGA (1366x768)	Intel Pentium processzor 987B Dual Core	1500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	-	- MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	Webcamera	új				
Acer V5-431-987B4G50Mauu_Lin Notebook	84244 Ft	14.00 inch	WXGA (1366x768)	Intel Pentium processzor 987B Dual Core	1500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	-	- MB	2.10 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0			magyar	Webcamera	új				
Lenovo IdeaPad G505 Notebook	66134 Ft	15.60 inch	HD WXGA (1366x768)	AMD E series processzor E1-2100	1024 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	AMD Radeon™ integrated graphics	- MB	2.50 Kg	2 év	6 mAh	DVD+-RW Dual Layer	FreeDOS		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, 2xUSB 3.0, Bluetooth	Memóriakártya-olvasó		magyar	Webcamera	új				
HP 255 Notebook	104717 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800 Dual Core	1700 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Radeon™ HD 7340	- MB	2.45 Kg	2 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C50D-A-10H Notebook	85819 Ft	15.60 inch	WXGA (1366x768)	AMD E series processzor E2-1800 Accelerated	1700 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	AMD Radeon™ integrated graphics	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Toshiba Satellite C50-A-1FW Notebook	85819 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor 2020M Dual Core	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® GMA HD	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Galaxy Tab 3 10.1 WiFi + 16GB Notebook	86606 Ft	10.10 inch	WXGA (1280x800)	ARM Cortex processzor Cortex A9 Dual Core	1600 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.51 Kg	2 év	6850 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	176.1 x 243.1 x 7.95 mm	egyéb	Érintőképernyő, Flash memória, 16GB, Front Camera, Back Camera, GPS	új				
Acer E1-530-21174G75Mnkk Notebook	88969 Ft	15.60 inch	WXGA (1366x768)	Intel Pentium processzor 2117U	1800 MHz	4096 MB	DDR3 SDRAM	750 GB	5400 rpm	Intel® UMA	- MB	2.40 Kg	2 év	4 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba TAB Excite AT10-A-103 Notebook	89756 Ft	10.10 inch	WXGA (1280x800)	NVIDIA® Tegra™ processzor Super 4-PLUS-1™ Quad Core	1300 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.63 Kg	2 év	6600 mAh	-	Android Jelly Bean 4.2	32 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB, USB 2.0, HDMI	micro SD, Memóriakártya-olvasó	261 x 179 x 10.5 mm	egyéb	Érintőképernyő, Front Camera, Back Camera	új				
Samsung Ativ Book 2 NP270E5V Notebook	86606 Ft	15.60 inch	WXGA (1366x768) LED	Intel Pentium processzor 2117U	1800 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.20 Kg	2 év	6 mAh	-	FreeDOS		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	3xUSB 2.0, HDMI, Bluetooth	Memóriakártya-olvasó		magyar	HD Webcamera	új				
