TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Bill.	Specifikáció	Softver	SDD
acer Travelmate P633-M-53234G50tkk - Matt kijelző - Most 3 év garanciával!	0 Ft	13,3"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i5-3230M (3M Cache, 2.60 - 3.20 GHz)	4GB DDR3	500 GB		Intel®HD Graphics 4000	325 x 235 x 24,8mm / ~ 1.8kg	3 év + véletlen sérülésre is!	4-cellás lítium-ion akkumulátor, akár 6 óra üzemidő	-	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 3.0* 1x USB/eSATA kombó * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó* 1 Express Card* 1 Acer ProDock csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-572G-74508G1TMnii - Szürke - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-4500U (4M Cache, 1.80 to 3.00 GHz)	8GB DDR3 memória	1 TB		AMD Radeon™ R7 M265 2GB	381 x 256 x 25.3 mm / 2.35 kg	2 év	2500 mAh. 4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Ultrabook Aspire V7-581G-53334G12akk - Fekete - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	-	120 GB	NVIDIA® GeForce® GT720M 2GB	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate TMP253-E-20204G50MAKS- Matt kijelző - Most 3 év garanciával!	0 Ft	15,6"	1366x768	Acer ComfyView WXGA nagy fényerejű MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Pentium® 2020M (2M Cache, 2.40 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		Intel® HD Graphics	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire R7-572G-54208G1.02TASS- Ultrabook Forgatható Érintő kijelzővel! - Ezüst - Már 3 év garanciával!	0 Ft	15.6"-os Multi-Touch Érintőképernyő	FULL HD 1920 x 1080	TOUCHSCREEN 1920 x 1080 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású IPS, 16:9 képarány	Intel® Core™ i5-4200U (3M Cache, 1.60 GHz up to 2.60 GHz)	8GB DDR3 memória	1TB		NVIDIA® GeForce® GT 750M, 2GB	376.8 x 254.5 x 28.5 mm / ~2.4 kg	3 év	4-cellás Li-ion akkumulátor	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	1x kártyaolvasó (SD™) 1x USB 2.0 2x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate TMP453-M-53234G50MAKK - Matt kijelző - Most 3 év garanciával!	0 Ft	15.6"	1366x768	Acer ComfyView WXGA nagy fényerejű MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i5-3230M (3M Cache, up to 3.20 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		Intel® HD Graphics 4000	n/a	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 1 x USB 3.0 * 2 x USB 2.0 * 1 x HDMI™ csatlakozó * 1 x csatlakozó külső kijelzőhöz (VGA) * 1 x Gigabit Ethernet (RJ-45) csatlakozó * 1 x Mikrofon csatlakozó * 1 x Vonalbemenet csatlakozó * 1 x hálózati tápegység csatlakozó * 1 x Express Card	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés		Acer ePower Management Acer eRecovery Management Adobe® Flash® Player 10.1 Adobe® Reader® 9.1 Bing™ Bar eSobi™ Norton™ Online Backup Próbaverzió Windows Live™ Essentials McAfee® Internet Security Próbaverzió MyWinLocker® Acer clear.fi NTI Media Maker™ Acer Games powered by WildTangent® Acer Crystal Eye Acer Video Conference Manager Microsoft® Silverlight™ Skype™ Acer Identity Card Acer Registration Acer Updater Microsoft® Office Trial		
acer Ultrabook Aspire S7-392-74508G25TTws - Fehér-Ezüst - Érintőképernyő! - Most 3 év garanciával!	0 Ft	13.3"	Quad HD 2560 x 1440	2560 x 1440 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású Multi-Touch IPS kijelző, 16:9 képarány	Intel® Core™ i7-4500U (4M Cache, 1.80 to 3.00 GHz)	8GB DDR3	-	256 GB	Intel®HD Grpahics 4400	323.5 x 223.5 x 11.9 mm~1.30 kg	3 év	35 Wh 4680 mAh 4-cell Li-polymer, akár 8 óra üzemidő!		Windows 8.1	Intel® Wireless WiFi Link 5100/5300 (kétcsatornás,négyfunkciós 802.11a/b/g/Draft-N) Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3mpixBluetooth®4.0+HS	Kártyaolvasó (SD™) 2x USB 3.0 csatlakozó 1x HDMI™ (High-Definition Multimedia Interface) HDCP (High-bandwidth Digital Content Protection) támogatással 1x fejhallgató/hangszóró kimenet 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 67-/68-/72 gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-530G-21174G75MNKK- Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	4GB DDR3 memória	750 GB SATA HDD		NVIDIA® GeForce® GT 720M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Travelmate TMP453-M-33114G50Makk - Matt kijelző - Most 3 év garanciával!	0 Ft	15.6"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel Core i3-3110 (3M Cache, 2.40 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez 7200rpm!		Intel HD Graphics 4000	n/a	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Windows 7 Professional / Windows 8 Professional	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 1 x USB 3.0 * 2 x USB 2.0 * 1 x HDMI™ csatlakozó * 1 x VGA csatlakozó külső kijelzőhöz * 1 x Gigabit Ethernet (RJ-45) csatlakozó * 1 x Mikrofon csatlakozó * 1 x Vonalbemenet csatlakozó * 1 x Hálózati tápegység csatlakozó * 1 x Express Card foglalat	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V3-772G-747a8G1.26TMamm Pezsgő - Már 2 év garanciával!	0 Ft	17.3"		Full HD 1920 x 1080 felbontású, Acer ComfyView™ LCD	Intel® Core™ i7-4702MQ (6M Cache, 2.20 up to 3.20 GHz)	8GB DDR3 memória (8GB DDR3)	1 TB SATA HDD	256GB	NVIDIA® GeForce® GTX 760M 2GB	414 x 275 x 34.8/36.1 mm3.4 kg 6-cellás akkumulátorral		48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 3.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS Acer Crystal Eye webkamera 1.3MPix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 2x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate TMP253-MG-20204G50MAKS- Matt kijelző - Most 3 év garanciával!	0 Ft	15,6"	1366x768	Acer ComfyView WXGA nagy fényerejű MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Pentium® 2020M (2M Cache, 2.40 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		NVIDIA® GeForce® 710M 2GB	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-582PG-54208G1.02TTII- Full HD IPS Érintő kijelzővel! Ezüst - Ultrabook	0 Ft	15.6"	FHD 1920 x 1080	1920 x 1080 felbontású , magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-4200U (3M Cache, 1.60 up to 2.60 )	8GB DDR3 memória	1TB SATA HDD + 20GB Cache SSD		NVIDIA® GeForce® GT 720M 2 GB	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-530G-21174G1TMNKK- Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	4GB DDR3 memória	1TB GB SATA HDD		NVIDIA® GeForce® GT 720M 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Travelmate TMP255-M-34014G75Mnkk - Fekete - Matt kijelző - Most 3 év garanciával!	0 Ft	15,6"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-4010U (3M Cache, 1.70 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	750 GB S-ATA merevlemez		Intel® HD Graphics 4400	381.6 x 256 x 24.9 mm / 2.35 kg	3 év + véletlen sérülésre is!	2500mAh 4-cellás lítium-ion akkumulátor, max. 4 óra üzemidő	DVD-SuperMulti duplarétegű író	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V5-552G-85558G1TAI - Ezüst - Már 2 év garanciával!	0 Ft	15,6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	AMD A8-5557M (2,1-3,1 GHz)	8GB DDR3 memória	1TB SATA HDD		AMD Radeon HD 8750M 2GB	342 x 245 x 20-23 mm2.1 kg 4-cellás akkumulátorral	2 év	4-cellás Li-ion akkumulátor	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-532 - 29552G50Dnkk - Fekete - Matt kijelző - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Celeron® Dual Core™ 2955U (2M Cache, 1.40 GHz)	2GB DDR3 memória	500 GB SATA HDD		Intel®HD Graphics	381 x 256 x 25.3 mm, ~2.4 kg	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire R7-572G-54208G12TASS- Ultrabook Forgatható Érintő kijelzővel! - Ezüst - Már 3 év garanciával!	0 Ft	15.6"-os Multi-Touch Érintőképernyő	FULL HD 1920 x 1080	TOUCHSCREEN 1920 x 1080 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású IPS, 16:9 képarány	Intel® Core™ i5-4200U (3M Cache, 1.60 GHz up to 2.60 GHz)	8GB DDR3 memória			NVIDIA® GeForce® GT 750M, 2GB	376.8 x 254.5 x 28.5 mm / ~2.4 kg	3 év	4-cellás Li-ion akkumulátor	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	1x kártyaolvasó (SD™) 1x USB 2.0 2x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés			120GB	
