TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Fujitsu LifeBook A531 CL NoOs 6GB	94409 Ft	15.6ʺ HD (1366x768)	Celeron B815 (1600)	6144 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
Lenovo IdeaPad G570GL Black 59-333895 Win7	94409 Ft	15.6ʺ HD LED (1366x768)	Celeron DualCore B800 (1500)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	fekete	10/100	4 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		5 in 1															
Asus X54C-SO344D Black FD 6GB	94409 Ft	15.6ʺ HD LED anti-glare	Core i3 2350M (2300)	6144 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	2600 mAh	nincs (F)	Value		fekete	10/100	1x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Lenovo IdeaPad G580 Brown 59-340206 FD	94409 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF 610M	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		5 in 1	van														
Dell Inspiron M5110 A6R LX 3414617 Horizontal Pink	94409 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
HP 630 Champagne A6D80ES W7	94409 Ft	15.6ʺ HD LED (1366x768)	Celeron DualCore B800 (1500)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Acer Aspire 5742Z-P622G32Mnkk Black LX 6GB	94409 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	6144 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	6 cellás	nincs (L)	Aspire	Aspire 5xxx	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Acer Aspire 4752Z-B9504G50Mnk Black LX 2Y 8GB	94409 Ft	14ʺ HD LED (1366x768)	Pentium B950 (2100)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)	Aspire		fekete	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
HP 630 Champagne B7B29EA LX 8GB	94409 Ft	15.6ʺ HD LED (1366x768)	Core i3 2310M (2100)	8192 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW	2 év	6 cellás	nincs (L)			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Samsung NP300E5X-T01HU Silver Blue FD	94409 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	750 GB	512 MB NV GeForce 610M	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (F)	Samsung	Samsung N	kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
