TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Hewlett Packard HP ProBook 6465b (LY430EA) Notebook	178900 Ft	14,1'', 1366x768, 16:9	AMD , A6-3410MX 1.6GHz (2.3GHz) 4MB L2 Cache	4 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 6520G	2,1 kg, 33,8 x 23,1 x 3,4 cm	3 év garancia	6 cella, 2 óra átlagos üzemidő, 51Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Médiakártya-olvasó , IEEE1394 firewire , DSUB, Express Card, HDMI + DisplayPort	Camera 1.3MPix		1*eSATA		
Dell Inspiron 7520 (DI7520A-3612-6GH75D6AL) Notebook	178900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3612QM 2.10GHz / 6MB Cache	6 GB, DDR3 1600MHz		750GB, SATA-2	AMD/ATI Radeon HD 7730M 2GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite Pro R850-122 Notebook	181900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 379,0 x 252,0 x 20,8 (elöl) / 25,4 (hátul) mm	3 év garancia	6 cella, 7,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, HDMI out	Camera 1.3MPix		eSATA		
Dell Vostro 3560 (V3560_142225) Notebook	181900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,6 kg, 28,8(elöl)/32,5(hátul) x 375 x 259 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	720p HD webkamera				
Hewlett Packard HP ProBook 4530s (B0X69EA_TC) Notebook	182900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	8 GB, DDR3 1333MHz		750GB, SATA-2	AMD Radeon HD 6490M 1GB DDR5	2,4 kg, 37,4 x 25,6 x 2,87 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Médiakártya-olvasó , DSUB, express card 34 mm, HDMI out	Camera 1.3MPix				
Dell Latitude E5430 (E5430-5) Notebook	182900 Ft	14.0", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,3Kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Full HD Webkamera		eSATA		
Hewlett Packard HP ProBook 4540s (B6M08EA) Notebook	182900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7650 / 1GB	2,4 kg, 37,5 x 25,6 x 2,8 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , DSUB, HDMI out	Camera 1.3MPix				
Dell Inspiron 5520 (INSP5520-12) Notebook	183900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11 a/b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Latitude E5430 (E5430-1) Notebook	184900 Ft	14.0", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel Graphics 3000 HD	2,3Kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Dokkolható, ExpressCard, HDMI out	Full HD Webkamera		eSATA		
Asus B53E-SO262X Notebook	184900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,7 kg, 38.4 x 26.3 x 3.30 ~3.50 cm	2 év garancia	3 cella	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI + DisplayPort	Camera 0.3MPixel		eSATA		
Hewlett Packard HP ProBook 6460b (LY436EA) Notebook	185900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,1 kg, 33,8 x 23,1 x 3,4 cm	3 év garancia	6 cella, 2 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Express Card, DisplayPort	Camera 2.0 Mp		1*eSATA		
Hewlett Packard HP ProBook 6570b (B6P78EA) Notebook	185900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz /3MB Cache	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2,5 kg, 37,4 x 25,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, DisplayPort	Camera 1.3MPix				
Toshiba Satellite Pro R850-18K Notebook	186900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2430M (2.4GHz, 3MB cache, 1333MHz FSB)	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Radeon HD 6450M 1GB	2,5 kg, 379,0 x 252,0 x 20,8 (elöl) / 25,4 (hátul) mm	2 év garancia	6 cella, 7 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, HDMI out	Camera 1.3MPix		eSATA		
Dell Inspiron 5520 (INSP5520-13) Notebook	186900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -3632 2.2/3.2 GHz (6MB Cache, 5 GT/s DMI, 22nm, 35w)	8 GB, DDR3 1600MHz		1 TB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 a/b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad L430(N2L35HV) Notebook	187900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,3Kg, 354mm x 243mm x 29.6–31.4mm	1 év garancia	6 cella, 7,5 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel WiFi Link 2x2 BGN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, express card 34 mm	720p HD webkamera				
Samsung NP530U3C-A04HU Notebook	187900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	1,5 kg, 315,1x17,6x218,9mm	2 év garancia	4 cella, 7 óra átlagos üzemidő, 4500Whr	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite U840-113 Notebook	187900 Ft	14.0", 1366x768, 16:9	Intel Core i3, -2377M 1,5 GHz, 3 MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	1,6 kg, 342,0 x 232,0 x 19,9 mm	2 év garancia	6 cella, 7,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.3MPix				
Samsung NP530U4C-S01HU Notebook	189900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1333MHz		500GB+24GB Cache, Hibrid Drive	NVIDIA GeForce GT 620M 1GB	1,8 kg, 333,00 mm x 229,5 mm x 20,90 mm	2 év garancia	8 cella, 4500Whr	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Samsung NP550P5C-T01HU Notebook	189900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1333MHz		1 TB, Hibrid Drive	Nvidia GeForce GT 630M 2GB	2,5 kg, 367,90 mm x 242,8 mm x 30,40 mm	2 év garancia	6 cella, 56WHr	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ideaPad U410 (59-349068) Notebook	189900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1333MHz		24GB SSD + 500GB HDD, SSD	Nvidia Geforce GT 610M 1GB	1,9 kg, 344*235*21mm	2 év garancia	4 cella, 9 óra átlagos üzemidő, 59WHr		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite P770-12R Notebook	191900 Ft	17,3", 1600*900, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	8 GB, DDR3 1333MHz		750GB, SATA-2	Nvidia GeForce GT 540M 2GB	3 kg, 413,6 x 274,0 x 28,0 (elöl)/36,0 (hátul) mm	2 év garancia	6 cella, 3 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3db USB 2.0, 1db USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo Ideapad Y580 (59-349166) Notebook	191900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1333MHz		1 TB, SATA-2	NVIDIA Geforce GTX 660M 2GB	2,8 kg, 385*255*36mm	2 év garancia	6 cella, 5 óra átlagos üzemidő	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 6 in 1 kártyaolovasó, HDMI out	Camera 2.0 Mp				
Toshiba Satellite L870-147 Notebook	191900 Ft	17,3", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	6 GB, DDR3 1600MHz		750GB, SATA-2	ATI Radeon HD 7670M 2GB DDR3	2,7 kg, 413,0 x 268,0 x 33,7 mm	2 év garancia	6 cella, 4 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Fujitsu Lifebook AH552-R5W (VFY:AH552MF031HU) Notebook	194900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 378 x 252 x 25,4 mm	2 év garancia	8 cella	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Fujitsu Lifebook UH572-RMP (VFY:UH572MF031HU) Notebook	194900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		32GB SSD + 500GB HDD, SSD	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh		Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, HDMI out	HD-minőségű webkamera (1280x800)				
Dell Vostro 3360 (V3360_141989) Notebook	196900 Ft	13,3", 1366x768, 16:9	Intel Core i7, -3517U / 1,90-3.0 GHz / 4MB Cache	4 GB, DDR3 1600MHz		320 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera		eSATA		
Asus Zenbook UX32A-R3001V Notebook	196900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2367M 1,4GHz /3MB Cache	4 GB, DDR3 1333MHz		24GB SSD + 500GB HDD, SATA-2	Intel Graphics 3000 HD	1,4 kg, 325 x 223 x 5.5-18 mm	2 év garancia	3 cella		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, Mini D-sub 15-pin, Ujjlenyomat olvasó, micro HDMI	Camera 0.3MPixel				
Asus B53E-SO266X Notebook	196900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,7 kg, 38.4 x 26.3 x 3.30 ~3.50 cm	3 év garancia	3 cella	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, Mini D-sub 15-pin, Ujjlenyomat olvasó, HDMI + DisplayPort	Camera 2.0 Mp		eSATA		
Samsung NP200B5B-A01HU Notebook	198900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 370 x 248.3 x 28.6 ~ 35.3mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 3.0 High Speed , 7 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	Camera 1.3MPix		eSATA		
Hewlett Packard HP ProBook 6560b (LY445EA) Notebook	198900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 37,4 x 25,1 x 3,4 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	4 db USB 2.0 port, Bluetooth 2.1, Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Express Card, DisplayPort	Camera 2.0 Mp		1*eSATA		
Dell Latitude E5530 (L065530106E_SPL) Notebook	198900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel Graphics 3000 HD	2,3Kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Full HD Webkamera		eSATA		
Fujitsu Lifebook AH552-B5W (VFY:AH552MF041HU) Notebook	199900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	Intel GMA HD	2,2 kg, 378 x 252 x 25,4 mm	2 év garancia	8 cella	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Hewlett Packard HP ProBook 6460b (LY437EA) Notebook	199900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,1 kg, 33,8 x 23,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Express Card, DisplayPort	Camera 2.0 Mp		1*eSATA		
Dell Latitude E5430 (E5430-4) Notebook	199900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,3Kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Windows 7 Professional 64 bit	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Full HD Webkamera		eSATA		
Toshiba Satellite U840-10M Notebook	199900 Ft	14.0", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	1,6 kg, 342,0 x 232,0 x 19,9 mm	2 év garancia	6 cella, 7,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.3MPix				
Hewlett Packard HP ProBook 6470b (B6P68EA) Notebook	200900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz /3MB Cache	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,1 kg, 33,8 x 23,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 55Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Express Card, DisplayPort	Camera 2.0 Mp		1*eSATA		
Asus N56VM-S3052V Notebook	200900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Nvidia GeForce GT 630M 1GB	2,7 kg, 38.0 x 25.5 x 2.72 ~3.24 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Asus U32VM-RO006X Notebook	202900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Intel GMA HD Graphics 4000	1,9 kg, 328 x 238.5 x 9 ~26.1 cm	2 év garancia	8 cella, 4400 mAh		Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, Mini D-sub 15-pin, micro HDMI	Camera 0.3MPixel				
Hewlett Packard HP ProBook 6570b (B6P79EA) Notebook	203900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,4 x 25,1 x 3,4 cm	3 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), Médiakártya-olvasó , IEEE1394 firewire , DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, DisplayPort	Camera 1.3MPix				
Dell Vostro 3360 (V3360_144753) Notebook	204900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -2367M 1,4GHz /3MB Cache	6 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel Graphics 3000 HD	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN, van, WWAN/3G mobil internet modem	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera		eSATA		
Dell Inspiron 7720 (INSP7720-2) Notebook	204900 Ft	17,3", 1600*900, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	NVidia GeForce GT 650M 2GB	3,3 kg, 416,8 mm x 276 mm x elöl 31,9 mm / hátul 37,37 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		Waves MaxxAudio 4 hangrendszer		
Fujitsu Lifebook P702-E (LKN:P702XM0002HU) Notebook	205900 Ft	12,1'', 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel Graphics 3000 HD	1,5 kg, 283 x 215 x 25 (első) / 32 (hátsó) mm	3 év garancia	6 cella, 13 óra átlagos üzemidő			10/100/1000, 802.11.b/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, Dokkolható, ExpressCard	HD-minőségű webkamera (1280x800)		G-Sensor		
Asus B53E-SO268X Notebook	207900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		750GB, SATA-2	Intel Graphics 3000 HD	2,7 kg, 38.4 x 26.3 x 3.30 ~3.50 cm	3 év garancia	3 cella	DVD +/- RW, Super Multi	Windows 7 Professional 64 bit	10/100, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, Mini D-sub 15-pin, Ujjlenyomat olvasó, HDMI + DisplayPort	Camera 0.3MPixel		eSATA		
