TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	WLAN	Kamera Felb.	USB	VGA ki	Audio	LAN	CR	Kensington	Anyag	Szín	Széles	Magas	Mély	Család	RAM Modul	AC	Hangszóró	Mikrofon	Bill. num	HDMI	USB 3	Technológia	HSDPA	HDD 2	HDD 2 Méret	BT	TB	Egyéb	2.Háttértár fordulatszám	Tárolt energia	Elektromos töltés	3D Technológia	Mini DisplayPort ki	Billentyűzet világítás	Egyéb szín	Micro HDMI ki	Pixelhiba	Tanúsítvány(ok)	DisplayPort ki	Ujjlenyomat olvasó	Leejtés védelem	TPM	Dokkolható	eSATA ki	ExpressCard	FireWire 400 ki	Soros
ASUS X201E 11,6"/Intel Pentium 987 1,5GHz/2GB/320GB/kék notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core ULV 987	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	kék	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
ASUS X201E 11,6"/Intel Pentium 987 1,5GHz/2GB/320GB/piros notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core ULV 987	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	sárga	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
ASUS X201E 11,6"/Intel Pentium 987 1,5GHz/2GB/320GB/szürke notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core ULV 987	2,0 GB	DDR3-1333	0 db	HDD	320 GB	5400 rpm		1,30 kg	2	FreeDOS		Intel	802.11 b/g/n	1,00 MP	2 db	1 db	Igen		Igen	Igen	műanyag	szürke	303,00 mm		200,0 mm	X201E				Igen		1 db	1 db	Lítium-ion polimer				4.0					5136 mAh																	
ASUS X202E 11,6" touch/Intel Celeron 847 1,1GHz/2GB/320GB/Win8 notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással, érintőkijelző	fényes	Intel	Celeron	Intel Celeron Dual-Core ULV 847 (1,1 GHz, 2 MB)	2,0 GB	DDR3-1600		HDD	320 GB	5400 rpm			2	Windows 8		Intel	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	szürke				X202E				Igen								3.0					5136 mAh																	
ASUS X202E 11,6" touch/Intel Celeron 847 1,1GHz/4GB/500GB/Win8 notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással, érintőkijelző	fényes	Intel	Celeron	Intel Celeron Dual-Core ULV 847 (1,1 GHz, 2 MB)	4,0 GB	DDR3-1600		HDD	500 GB	5400 rpm			2	Windows 8		Intel	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	szürke				X202E				Igen								3.0					5136 mAh																	
ASUS X202E 11,6" touch/Intel i3-3217U 1,8GHz/4GB/500GB/Win8 notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással, érintőkijelző	fényes	Intel	Core i3	Intel Core i3-3217U (1,8 GHz, 3 MB)	4,0 GB	DDR3-1600		HDD	500 GB	5400 rpm			2	Windows 8		Intel	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	szürke				X202E				Igen								3.0					5136 mAh																	
ASUS X202E 11,6" touch/Intel Pentium 987 1,5GHz/4GB/500GB/Win8 notebook	0 Ft	1366x768	11,6"	TFT LCD, LED háttérvilágítással, érintőkijelző	fényes	Intel	Pentium	Intel Pentium Dual-Core ULV 987	4,0 GB	DDR3-1600		HDD	500 GB	5400 rpm			2	Windows 8		Intel	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	szürke				X202E				Igen								3.0					5136 mAh																	
ASUS X301A 13,3"/Intel Pentium B980 2,4GHz/2GB/320GB/fehér notebook	0 Ft	1366x768	13,3"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,70 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fehér	331,00 mm	30,00 mm	226,0 mm	X301A		65 watt		Igen		1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X301A 13,3"/Intel Pentium B980 2,4GHz/2GB/320GB/kék notebook	0 Ft	1366x768	13,3"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,70 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	kék	331,00 mm	30,00 mm	226,0 mm	X301A		65 watt		Igen		1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X401A 14"/Intel Pentium B980 2,4GHz/2GB/320GB/fehér notebook	0 Ft	1366x768	14"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,85 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fehér	344,00 mm	26,50 mm	241,0 mm	X401A		65 watt		Igen		1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X401A 14"/Intel Pentium B980 2,4GHz/2GB/320GB/kék notebook	0 Ft	1366x768	14"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,85 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	kék	344,00 mm	26,50 mm	241,0 mm	X401A		65 watt		Igen		1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X401A 14"/Intel Pentium B980 2,4GHz/2GB/320GB/rózsaszín notebook	0 Ft	1366x768	14"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,85 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	rózsaszín	344,00 mm	26,50 mm	241,0 mm	X401A		65 watt		Igen		1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X401A 14"/Intel Pentium B980 2,4GHz/2GB/320GB/zöld notebook	0 Ft	1366x768	14"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,85 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	zöld	344,00 mm	26,50 mm	241,0 mm	X401A		65 watt		Igen		1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X401U 14"/AMD E2-1800 1,7GHz/4GB/500GB notebook	0 Ft	1366x768	14"	TFT LCD, LED háttérvilágítással	fényes	AMD	E-Series	AMD Dual-Core E2-1800 (1,7 GHz, 1MB)	4,0 GB	DDR3-1600	0 db	HDD	500 GB	5400 rpm			6	FreeDOS		AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	344,00 mm	30,00 mm	241,0 mm	X401U		65 watt		Igen		1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X501A 15,6"/Intel Celeron B820 1,7GHz/2GB/320GB/fehér notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Celeron	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		2,07 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fehér	380,00 mm		253,0 mm	X501A		65 watt		Igen	Igen	1 db	1 db									47 wattóra	4400 mAh																	
ASUS X501A 15,6"/Intel Celeron B820 1,7GHz/2GB/320GB/fekete notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Celeron	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		2,07 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	380,00 mm		253,0 mm	X501A		65 watt		Igen	Igen	1 db	1 db									47 wattóra	4400 mAh																	
ASUS X501A 15,6"/Intel Core i-3350M 2,3GHz/4GB/320GB/fehér notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-2350M (2,3 GHz, 3 MB)	4,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		2,07 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fehér	380,00 mm		253,0 mm	X501A		65 watt		Igen	Igen	1 db	1 db									47 wattóra	4400 mAh																	
ASUS X501A 15,6"/Intel Pentium B970 2,3GHz/4GB/500GB/fehér notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B970 (2,3 GHz, 2 MB)	4,0 GB	DDR3-1600	0 db	HDD	500 GB	5400 rpm		2,07 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fehér	380,00 mm		253,0 mm	X501A		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X501A 15,6"/Intel Pentium B980 2,4GHz/2GB/320GB/fehér notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		2,07 kg	6	FreeDOS		Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fehér	380,00 mm		253,0 mm	X501A		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X501U 15,6"/AMD C-60 1GHz/2GB/320GB notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	AMD	C-Series	AMD Dual-Core C-60 (1 GHz)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,97 kg	6	FreeDOS		AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	380,00 mm		253,0 mm	X501U		65 watt		Igen	Igen	1 db	1 db									47 wattóra	4400 mAh																	
ASUS X501U 15,6"/AMD E-450 1,66GHz/2GB/320GB notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	AMD	E-Series	AMD Dual-Core E-450 (1,66 GHz)	2,0 GB	DDR3-1600	0 db	HDD	320 GB	5400 rpm		1,97 kg	6	FreeDOS		AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	380,00 mm		253,0 mm	X501U		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X53BE 15,6"/AMD E2-1800 1,7GHz/6GB/750GB/VGA/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	AMD	E-Series	AMD Dual-Core E2-1800 (1,7 GHz, 1MB)	6,0 GB	DDR3-1600		HDD	750 GB	5400 rpm			6	FreeDOS	DVD író	AMD	802.11 b/g/n	1,00 MP		1 db	Igen		Igen	Igen	műanyag	fekete				X53BE				Igen								3.0		Táska és egér			4400 mAh																	
ASUS X53E 15,6"/Intel Celeron Dual-Core B820 1,7GHz/4GB/500GB/DVD író/Piros notebook	0 Ft	1366x768	15,6"			Intel	Celeron		4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm				FreeDOS	DVD író	Intel	802.11 b/g/n			1 db	Igen		Igen	Igen	műanyag	piros				X53E				Igen	Igen																													
ASUS X53SD 15,6"/Intel Dual-Core Pentium B960 2,2GHz/4GB/500GB/DVD író/Rózsaszín notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	NVIDIA GeForce G610M 2GB	2,60 kg	6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	2 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	34,90 mm	253,0 mm	X53SD	2 x 2	90 watt		Igen	Igen	1 db	1 db							Táska és egér																				
ASUS X54C 15,6"/Intel Core i3-2310M/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"			Intel	Core i3		2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm				FreeDOS	DVD író	Intel	802.11 b/g/n			1 db	Igen		Igen	Igen	műanyag					X54C				Igen	Igen																													
ASUS X54C 15,6"/Intel Dual-Core Pentium B960 2,2GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Matt	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	Intel HD 3000	2,60 kg	4	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54C	1 x 4	65 watt		Igen	Igen	1 db	1 db																											
ASUS X54HR 15,6"/Intel Core i3-2350M 2,3GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	fényes	Fényes	Intel	Core i3	Intel Core i3-2350M (2,3 GHz, 3 MB)	4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	ATI Radeon HD7470 1GB	2,60 kg	4	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54HR	1 x 4	75 watt		Igen	Igen	1 db	1 db					2.1 + EDR					2600 mAh																	
ASUS X54HR 15,6"/Intel Core i3-2350M 2,3GHz/4GB/750GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Matt	Intel	Core i3	Intel Core i3-2350M (2,3 GHz, 3 MB)	4,0 GB	DDR3-1333		HDD	750 GB	5400 rpm	ATI Radeon HD7470 1GB	2,60 kg	4	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54HR	1 x 4	75 watt		Igen	Igen	1 db	1 db					2.1 + EDR				2600 wattóra																		
ASUS X54HR 15,6"/Intel Dual-Core Celeron B815 1,6GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Celeron	Intel Celeron Dual-Core B815 (1,6 GHz, 2 MB)	2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	ATI Radeon HD6470 1GB	2,60 kg	4	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54HR	1 x 2	75 watt		Igen	Igen	1 db	1 db									2600 wattóra	2600 mAh																	
ASUS X54HR 15,6"/Intel Pentium Dual-Core B960 2,2GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Matt	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	ATI Radeon HD7470 1GB	2,60 kg	4	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54HR	1 x 4	75 watt		Igen	Igen	1 db	1 db					2.1 + EDR					2600 mAh																	
ASUS X54HR+Win7 bundle 15,6"/Intel Pentium Dual-Core B950 2,1GHz/4GB/500GB/DVD író/Win7 notebook	0 Ft	1366x768	15,6"			Intel	Pentium		4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm				Windows 7 Home Premium OEM bundle 64 bit	DVD író	AMD	802.11 b/g/n			1 db	Igen		Igen	Igen	műanyag					X54HR				Igen																														
ASUS X54HY 15,6"/Intel Core i3-2330M 2,2GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Matt	Intel	Core i3	Intel Core i3-2330M (2,2 GHz, 3 MB)	2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm	ATI Radeon HD6470 1GB	2,60 kg	4	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54HY	1 x 2	65 watt		Igen	Igen	1 db	1 db					2.1 + EDR																						
ASUS X54HY 15,6"/Intel Pentium Dual-Core B950 2,1GHz/3GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Matt	Intel	Pentium	Intel Pentium Dual-Core B950 (2,1 GHz, 2 MB)	3,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	ATI Radeon HD6470M 512MB	2,60 kg	6	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54HY	1 + 2	65 watt		Igen	Igen	1 db	1 db					2.1 + EDR					5200 mAh																	
ASUS X54HY 15,6"/Intel Pentium Dual-Core B950 2,1GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Matt	Intel	Pentium	Intel Pentium Dual-Core B950 (2,1 GHz, 2 MB)	4,0 GB	DDR3-1333		HDD	500 GB	5400 rpm	ATI Radeon HD6470 1GB	2,60 kg	6	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag		378,00 mm	37,20 mm	253,0 mm	X54HY	1 x 4	65 watt		Igen	Igen	1 db	1 db					2.1 + EDR					5200 mAh																	
ASUS X55A 15,6"/Intel Celeron Dual-Core B820 1,7GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	Fényes	Intel	Celeron	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB)	2,0 GB	DDR3-1333	1 db	HDD	320 GB	5400 rpm	Intel HD 3000		6	FreeDOS	DVD író	Intel	802.11 b/g/n		1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	Fekete				X55A				Igen	Igen	1 db	1 db																											
ASUS X55A 15,6"/Intel Pentium B980 2,4GHz/2GB/320GB/DVD író/notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	2,0 GB	DDR3-1333	1 db	HDD	320 GB	5400 rpm		2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55A		65 watt		Igen	Igen	1 db	1 db									47 wattóra	4400 mAh																	
ASUS X55A 15,6"/Intel Pentium B980 2,4GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Pentium	Intel Pentium Dual-Core B980 (2,4 GHz, 2 MB)	4,0 GB	DDR3-1333	1 db	HDD	500 GB	5400 rpm		2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55A		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X55A+Win7 bundle 15,6"/Intel Celeron Dual-Core B820 1,7GHz/2GB/320GB/DVD író/Win7 notebook	0 Ft	1366x768	15,6"			Intel	Celeron		2,0 GB	DDR3-1333		HDD	320 GB	5400 rpm				Windows 7 Home Premium OEM bundle 64 bit	DVD író	Intel	802.11 b/g/n			1 db	Igen		Igen	Igen	műanyag					X55A				Igen																														
ASUS X55C 15,6"/Intel Core i3-2328M 2,2GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-2328M	2,0 GB	DDR3-1600	1 db	HDD	320 GB	5400 rpm		2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55C		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh			Igen														
ASUS X55C 15,6"/Intel Core i3-2328M 2,2GHz/4GB/500GB/DVD író/Win8 notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-2328M	4,0 GB	DDR3-1600	1 db	HDD	500 GB	5400 rpm		2,45 kg	6	Windows 8	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55C		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh			Igen														
ASUS X55C 15,6"/Intel Core i3-2350M 2,3GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-2350M (2,3 GHz, 3 MB)	2,0 GB	DDR3-1600	1 db	HDD	320 GB	5400 rpm		2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55C		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X55C 15,6"/Intel Core i3-3110M 2,4GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-3110M	4,0 GB	DDR3-1600	1 db	HDD	500 GB	5400 rpm		2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55C		65 watt		Igen	Igen	1 db	1 db					4.0				47 wattóra	4400 mAh																	
ASUS X55U 15,6"/AMD C-60 1GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	AMD	C-Series	AMD Dual-Core C-60 (1 GHz)	2,0 GB	DDR3-1333	1 db	HDD	320 GB	5400 rpm		2,45 kg	6	FreeDOS	DVD író	AMD	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55U		65 watt		Igen	Igen	1 db	1 db					4.0		Táska és egér		47 wattóra	4400 mAh																	
ASUS X55U 15,6"/AMD Dual-Core C-60 1GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	AMD	C-Series	AMD Dual-Core C-60 (1 GHz)	2,0 GB	DDR3-1333	1 db	HDD	320 GB	5400 rpm	AMD Radeon HD 6290	2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55U		65 watt		Igen	Igen	1 db	1 db							notebook,hálózati töltő		47 wattóra	4400 mAh																	
ASUS X55U 15,6"/AMD Dual-Core E-450 1,66GHz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	AMD	E-Series	AMD Dual-Core E-450 (1,66 GHz)	2,0 GB	DDR3-1333	1 db	HDD	320 GB	5400 rpm	AMD Radeon HD 6320	2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55U		65 watt		Igen	Igen	1 db	1 db							notebook,hálózati töltő		47 wattóra	4400 mAh																	
ASUS X55U 15,6"/AMD Dual-Core E-450 1,66GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	AMD	E-Series	AMD Dual-Core E-450 (1,66 GHz)	4,0 GB	DDR3-1333	1 db	HDD	500 GB	5400 rpm	AMD Radeon HD 6320	2,45 kg	6	FreeDOS	DVD író	Intel	802.11 b/g/n	0,30 MP	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	műanyag	fekete	378,00 mm	31,90 mm	253,0 mm	X55U		65 watt		Igen	Igen	1 db	1 db							Táska és egér		47 wattóra	4400 mAh																	
ASUS X55VD 15,6"/Intel Core i3-2328M 2,2GHz/4GB/500GB/VGA/DVD író notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-2328M	4,0 GB	DDR3-1600	1 db	HDD	500 GB	5400 rpm	NVIDIA GeForce G610M 1GB		6	FreeDOS	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	35,80 mm	253,0 mm	X55VD		90 watt		Igen	Igen	1 db	1 db									47 wattóra	4400 mAh			Igen														
ASUS X55VD 15,6"/Intel Core i3-2328M 2,2GHz/4GB/500GB/VGA/DVD író/Win8 notebook	0 Ft	1366x768	15,6"	TFT LCD, LED háttérvilágítással	fényes	Intel	Core i3	Intel Core i3-2328M	4,0 GB	DDR3-1600	1 db	HDD	500 GB	5400 rpm	NVIDIA GeForce G610M 1GB		6	Windows 8	DVD író	NVIDIA	802.11 b/g/n	0,30 MP	1 db	1 db	Igen		Igen	Igen	műanyag	fekete	378,00 mm	35,80 mm	253,0 mm	X55VD		90 watt		Igen	Igen	1 db	1 db									47 wattóra	4400 mAh			Igen														
