TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
HP 650 (B6N09EA) 15,6"	83543 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core B970 (2,3 GHz, 2 MB cache)	2048 MB DDR III 1600 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,45 kg	1 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Mobil Intel® HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100/1000 Mb/s	3 db	376x247x35,8 mm				
Dell Vostro 3360 Ci5-3317 4GB 320GB HD4000 Piros	165827 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i5 3317 (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 4000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	3 db			
Acer Aspire AS5560G-63424G50Mnkk W7HP64	117165 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-3420 (1,5 GHz, 4 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC	10/100 Mb/s	2 db	381 x 253 x 34 mm				
Fujitsu Lifebook U772 Ci5-3317U 4GB 500GB Piros	267323 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	1,4 kg	3 év	4 cellás	Nincs	Windows 7 Professional 64 bit	Ultrabook	Intel® QM77	Realtek ALC269	Nem	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Igen	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100/1000 Mb/s	1 db	327 x 225 x 15.6 mm	2 db	32 GB		
Acer TravelMate TM5760G-I5SKL	134882 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,6 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel HM65	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, HDMI		10/100/1000 Mb/s	3 db					
Toshiba Satellite C855-12J	98819 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7610M	2,3 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	380.0 x 242.0 x 33.52 mm	1 db			
HP 650 (B6N07EA) 15,6"	86772 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B820 (1,7 GHz, 2 MB cache)	2048 MB DDR III 1600 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,45 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Üzleti	Mobil Intel® HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100/1000 Mb/s	3 db	376x247x35,8 mm				
Lenovo Thinkpad Edge E430 14" i3-2350M 4GB 500GB	150236 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,15 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobile Intel HM77 Express	Dolby ® Advanced Audio v2	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, ExpressCard 34mm, USB, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	4 db	339x234x27.4-32.8 mm				
Apple MacBook Air 11" i5 1,7GHz 4GB 64GB SSD HU	255433 Ft	11,6 " (1366x768 pixel)	Nem	Intel Core i5 (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	64 GB Nincs rpm SSD	Intel HD Graphics 4000	1,08 kg	1 év		Nincs	Mac OS X 10.7 Lion	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0		Nincs		192x300x3-17 mm	2 db			
Dell Inspiron 5520 HD Ci3-2370M 4GB 1TB HD7670 Kék	143071 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Dell Latitude E5430 HD Ci5-3320M 4GB 500GB W7P	208819 Ft	14 " (1366 × 768 pixel)	Nem	Intel Core i5 3320M (2,6 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	2,14 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	1 db	350x240x29,90–32,5 mm	2 db			
Acer TimelineUltra M5-481TG-323a4G52Mass	194724 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2377M (1,5 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 640M		3 év	3 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	2 db			20 GB		
Dell Inspiron 7520 HD Ci5-3210 4GB 1TB HD7730M	154961 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (3,1 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7730M	2,3 kg	3 év	6 cellás	DVD+-RW DL	Linux	Multimédia	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 34,1 mm	4 db			
Asus Eee PC 1225B-WHI028W Fehér	87480 Ft	11,6 " (1366x768 pixel)	Nem	AMD E Series E450 (1,66 GHz, 1 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6320	1,44 kg	2 év	6 cellás	Nincs	OP. rendszer nélkül	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	296 x 200 x 28 ~35 mm	1 db			
Lenovo ThinkPad X230 12,5" MT i5-3320M 4GB 500GB	337638 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i5 3320M (2,6 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	1,34 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby ® Advanced Audio ® v2	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, Mini Display Port, USB, USB 3.0, ExpressCard 54mm	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	305x206.5x19 - 26.6 mm	2 db			
Lenovo Thinkpad Edge E530 NZQAKHV_TS	141417 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,45 kg	1 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti	Mobile Intel HM77 Express	Dolby ® Advanced Audio ™ v2	Igen	Nem	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	377x245 x29.5-35.3 mm	3 db			
Dell Vostro 3460 Ci7-3612 8GB 128GB SSD GT630 W7P	260551 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3612Q (2,1 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	128 GB Nincs rpm SSD	NVIDIA GeForce GT 630M	2,23 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Általános	Intel® Mobile HM77 Panther Point Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		345,5x244x28-30,1 mm	4 db			
Lenovo IdeaPad G580GH B950 4GB 750GB DOS	95276 Ft	15,6 " (1360x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics 3000		2 év	6 cellás	DVD+-RW DL	Free DOS	Általános		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, HDMI		10/100 Mb/s	4 db					
Dell Inspiron 7520 HD Ci7-3612 6GB 750GB HD7730M	174882 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 3612QM (3,1 GHz, 6 MB cache)	6144 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 7730M	2,3 kg	3 év	6 cellás	DVD+-RW DL	Linux	Multimédia	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 34,1 mm	4 db			
Asus Eee PC R051BX-WHI002W Fehér	52543 Ft	10,1 " (1024x600 pixel)	Nem	AMD C Series C-60 (1 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6250	1,29 kg	2 év	3 cellás	Nincs	OP. rendszer nélkül	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	262 x 178 x 23.6 ~36.4 mm				
Samsung NP300E5C-S01HU	149921 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	6144 MB DDR III 1066 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 610M	2,3 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100/1000 Mb/s	3 db	367,9 x 243 x 27,1~33 mm				
Acer AS5560G-4054G50MNRR 15.6" Piros	91417 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-3305M (1,9 GHz, 1 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7470M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia		Hd Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	382x253x33,2 mm				
Dell Latitude E5530 FHD Ci5-3320M 4GB 500GB W7P	223622 Ft	15,6 " (1920 × 1080 pixel)	Nem	Intel Core i5 3320M (2,6 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	2,38 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	1 db	388x251x30,20–33,20 mm	2 db			
Fujitsu Lifebook AH552 Ci3-2350M 4GB 500GB Piros	129291 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,2 kg	2 év	8 cellás	DVD+-RW DL	OP. rendszer nélkül	Általános	Intel® HM76	Realtek ALC269 VC2 HD	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 25,4 mm				
Acer Aspire AS4752Z-B9504G50MNKK	85748 Ft	14 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,25 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS Pro	10/100/1000 Mb/s	3 db	342 x 245 x 34,2 mm				
HP ProBook 6460b 14" (LY436EA)	176693 Ft	14 " (1366 x 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	2,02 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Mobile Intel® QM67 Express Mobile, Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, ExpressCard 54mm, FireWire	SD, MMC	10/100/1000 Mb/s	3 db	338x231x34 mm				
Lenovo IdeaPad Y580 59-349171	207638 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	6144 MB DDR III 1600 MHz	Nem	1000 GB 7200 rpm SATA	NVIDIA GeForce GTX 660M	2,8 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Gamer	Mobile Intel® HM76	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	385 × 255 × 35,7 mm	2 db			
Dell Vostro 3560 HD Ci5-3210 4GB 500GB Linux Piros	177087 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210 (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	AMD Radeon HD 7610M	2,57 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB, HDMI		10/100/1000 Mb/s		375 x 259 x 28,8-32,5 mm	4 db			
Acer Aspire AS5750ZG-B954G50MN	100787 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 520M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS Pro	10/100/1000 Mb/s	3 db	382x253x33 mm				
Asus K53SD-SX1244D fehér	122520 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2310M (2,1 GHz, 3 MB cache)	6144 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	1 db			
Lenovo IdeaPad Z580 59-348019	151732 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Igen	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia	Mobile Intel® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100 Mb/s	2 db	376 x 250 x 33 mm	2 db			
Lenovo ThinkPad Edge S430 N3B2FHV	218031 Ft	14 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000		1 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Üzleti		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem			10/100/1000 Mb/s						
Acer Aspire One AOD270-26DGKK fekete	79134 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,3 kg	2 év	6 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100 Mb/s	3 db	256,5 x 184 x 24 mm				
Asus G55VW-IX143V	391496 Ft	15,6 " (1920x1080 pixel)	Igen	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GTX 660M	3,8 kg	2 év	8 cellás	Blu-Ray író	Windows 7 Home Premium 64 bit	Gamer	Intel® HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, Mini Display Port, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s		384 x 299 x 20 ~ 51 mm	4 db	128 GB		
Apple MacBook Air 13" i5 1,8GHz 4GB 256GB SSD EN	387087 Ft	13 " (1440x900 pixel)	Nem	Intel Core i5 (1,8 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	256 GB Nincs rpm SSD	Intel HD Graphics 4000	1,35 kg	1 év		Nincs	Mac OS X 10.7 Lion	Ultrabook		HD Audio	Igen	Igen	802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0	SD	Nincs		325 x 227 x 3-17 mm	2 db			
Acer Aspire S3-391-53314G52add	194724 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3317U (2,6 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	1,49 kg	3 év	3 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem			10/100/1000 Mb/s	2 db	323 x 219 x 17,5 mm		20 GB		
Lenovo ThinkPad Edge E330 NZS3RHV	144094 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Igen	750 GB 7200 rpm SATA	NVIDIA GeForce 610M	1,8 kg	1 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Üzleti	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	322 x 228 x 27,8 mm	2 db			
Lenovo Thinkpad Edge E135 NZV63HV_TS	92126 Ft	11,6 " (1366x768 pixel)	Nem	AMD E Series E2-1800 (1,7 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 7340	1,45 kg	1 év	6 cellás	Nincs	Free DOS	Üzleti		Dolby ® Advanced Audio ™ v2	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100/1000 Mb/s	3 db					
Toshiba Satellite C850-179 15,6"	116850 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2310M (2,1 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 7610M	2,3 kg	2 év		DVD+-RW DL	OP. rendszer nélkül	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100 Mb/s	2 db	380x242x33 mm	1 db			
Asus B53E-SO272X 15.6"	218898 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 2640M (2,8 GHz, 4 MB cache)	8192 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,69 kg	2 év	4 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Mini VGA, Display Port, E-SATA, ExpressCard 34mm, USB, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	384x263x33-35 mm	1 db			
HP Pavilion G6-2032SH 15,6" (B4H58EA)	149055 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,48 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Intel HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100 Mb/s	1 db	376x244x36,3 mm	2 db			
HP 650 (B6M55EA) 15,6"	71370 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Celeron B820 (1,7 GHz, 2 MB cache)	2048 MB DDR III 1600 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,45 kg	1 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Mobil Intel® HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100/1000 Mb/s	3 db	376x247x35,8 mm				
Dell Inspiron N5050 HD B960 2GB 500GB Fekete	87244 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,37 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel® HM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	3 db	376 x 260 x 31,5 - 34,5 mm				
MSI CR650-429XHU	64370 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E-240 (GHz, MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6310	2,3 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, DVI, USB, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	383x249.5x33.4~37.6 mm				
Acer Aspire V5-431-967B4G50Mabb Kék	110787 Ft	14 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B967 (1,3 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	2,1 kg	2 év	4 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	342 x 245 x 20-23 mm	1 db			
Sony Vaio VPCSB4S9E 13,3" Fekete	237953 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	640 GB 5400 rpm SATA	Intel HD Graphics 3000	3,1 kg	2 év		DVD+-RW DL	Windows 7 Professional 64 bit	Multimédia	Intel® HM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, SDXC, MS Pro	10/100/1000 Mb/s	2 db	224x331x23,9 mm	1 db			
Acer Aspire V5-531G-967B4G50Makk Fekete	128504 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B967 (1,3 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 620M	2,3 kg	2 év	4 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	Mobile Intel® HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	2 db	382x253x21-23 mm	1 db			
