TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
Acer AO725-C6Cbb NU.SGQEU.002 Kék Netbook	62913 Ft	11,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)		320GB SATA 5400rpm	AMD Radeon™ HD 6290	1.20 kg		4 cellás (37WHr) lithium-ion	opcionális külső író (nem tartozék)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	285 x 202 x 23.5 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
DELL Inspiron Mini 1018-21 Netbook	66063 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ N455 (1,66 GHz, 512 kB)	1GB DDR3 1333MHz	250GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1,37 kg	2 év	6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Dell Audio, 2 speakers	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	268 x 197 x 25 - 33 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AO725-C6Ckk NU.SGPEU.002 Netbook	60551 Ft	11,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)		320GB SATA 5400rpm	AMD Radeon™ HD 6290	1.20 kg		4 cellás (37WHr) lithium-ion	opcionális külső író (nem tartozék)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	285 x 202 x 23.5 mm	következő munkanapon				
Lenovo IdeaPad G570GL 59-333895 Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B800 (1.50 GHz)		320GB SATA 5400rpm	Intel® HD Graphics 2000	2,6 kg	2 év	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (4db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 g/n (WiFi)	5 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	377 x 250 x 34,9 mm	következő munkanapon				
ASUS X55U-SX007D Fekete Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)		320GB SATA 5400rpm	AMD Radeon™ HD 6290	2.45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37.8 x 25.3 x 2.62 ~ 3.19 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AOD270-26DW NU.SGNEU.002 Netbook	62913 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)		320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	következő munkanapon				
ASUS EEE PC 1015BX-RED094S Piros Netbook	69685 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	1GB DDR3 1066MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6290	1.17 kg		3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23.6 ~ 36.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS4352-B812G32Mnkk NX.RU5EU.002 Notebook 4GB	0 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,25 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	Multi az 1-ben kártyaolvasó, beépített HD webkamera	342 x 245 x 34,2 mm	következő munkanapon				
Packard Bell F5211-HC-232HG NX.C1FES.012 Notebook	70000 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 34mm	nincs raktáron				
Acer AOD270-26DGKK NU.SGBEU.001 3G	81496 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)		320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), beépített 3G mobil internet modem, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad B570e 59-325615 notebook	70472 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B800 (1.50 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.35 kg	2 év	6 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	6 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	378 x 252 x 33.1 mm	nincs raktáron				
Packard Bell F5211-HC-454HG NX.C1FES.014 Notebook	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad G575GL 59-345819 Notebook	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-300 Dual-Core (1.3Ghz, 1MB L2)		320GB SATA 5400rpm	AMD Radeon™ HD 6310	2,6 kg	2 év	6 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (4db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	377 x 250 x 34,9 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-531-B824G32Makk_Lin NX.M35EU.012 Fekete	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.4 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	378 x 259 x 24.8 - 29.7 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 650 B6M55EA Notebook	70787 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 655 B6M62EA Notebook	70787 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E1-1200 Dual-Core™ (1.40 GHz, 1 MB)		320GB SATA 5400rpm	AMD Radeon™ HD 7310	2,45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Packard Bell TK-F4011-BZ-253HG Notebook	71575 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-300 Dual-Core (1.3Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 6310	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	5 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X55U-SX003D Notebook	73150 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		320GB SATA 5400rpm	AMD Radeon™ HD 6320	2.45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37.8 x 25.3 x 2.62 ~ 3.19 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5250-E302G32MNKK NX.RJYEU.003 Notebook	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-300 Dual-Core (1.3Ghz, 1MB L2)		320GB SATA 5400rpm	AMD Radeon™ HD 6310	2.60 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	381 x 253 x 34 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Packard Bell F5211-BZ-231HG Fekete Notebook	72047 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		320GB SATA 5400rpm	AMD Radeon™ HD 6320	2,6 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 25,2 - 33,2 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5349-B812G32MNKK NX.RR9EU.004 Notebook	72362 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,40 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	Multi az 1-ben kártyaolvasó, beépített HD webkamera	381 x 253 x 34,7 mm	nincs raktáron				
HP 635 A1E47EA Notebook	70787 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD E-300 Dual-Core (1.3Ghz, 1MB L2)		320GB SATA 5400rpm	ATI Mobility™Radeon™ HD4250	2,5 kg	2 év	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD RS880M	Altec Lansing® hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,18 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC 1225B-GRY023W Szürke Netbook	75197 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3 1333MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6290	1.44 kg		6cellás (56WHr) lithium-ion	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	296 x 200 x 28 ~ 35mm	nincs raktáron				
ASUS EEE PC 1225B-WHI042W Fehér Netbook	75197 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3 1333MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6290	1.44 kg		6cellás (56WHr) lithium-ion	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	296 x 200 x 28 ~ 35mm	nincs raktáron				
Dell Inspiron N5050 144267 Notebook	74409 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® B720 (2M Cache, 1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.37 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM67 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	376.0 x 260.00 x 31.52 - 34.53 mm	nincs raktáron				
Dell Inspiron N5050 144268 Piros Notebook	74409 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® B720 (2M Cache, 1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.37 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM67 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	376.0 x 260.00 x 31.52 - 34.53 mm	nincs raktáron				
Packard Bell F5211-HC-231HG NX.C1FES.013 Notebook	74724 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® Dual-Core™ B970 - 2.30 GHz		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad G575GL 59-345828 Notebook	74724 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-300 Dual-Core (1.3Ghz, 1MB L2)		500GB SATA 5400rpm	AMD Radeon™ HD 6310	2,6 kg	2 év	6 cellás lithium-ion	8x DVD író (+/-RW Dual Layer)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (4db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	377 x 250 x 34,9 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 650 B6N06EA Notebook	73150 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X501A-XX119D Fehér Notebook	75984 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)	2GB DDR3 1600MHz	320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.07 kg		6cellás (47WHr) lithium-ion	opcionális külső író (nem tartozék)		Mobile Intel® HM70 Express Chipset	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	38.0 x 23.5 x 2.65 ~ 3.23 cm	nincs raktáron				
Packard Bell TS-F4211-HR-453HG Notebook	75512 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B815 (1.60 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	HD Audio, 2 speakers	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	5 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 650 B6N59EA Notebook	74724 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2,45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AS5733Z-P622G50MNKK LX.RJW0C.079 Notebook	76772 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium Dual Core P6200 (2.13 GHz, 3MB)		500GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.60 kg		6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Intel® HM55 Express	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	381 x 253 x 34 mm	nincs raktáron				
Packard Bell F4011-BZ-235HG Fekete Notebook	76772 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD E-450 Dual-Core (1.65Ghz, 1MB L2)		320GB SATA 5400rpm	AMD Radeon™ HD 6320	2.70 kg	2 év el- és visszaszállításos (Pick Up and Return)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, 2 az 1-ben kártyaolvasó	381 x 253 x 34mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Toshiba Satellite C850-13Z Fekete Notebook	74724 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.3 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	beépített HD webkamera, Univerzális kártyaolvasó	380.0 x 242.0 x 33.52 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP 655 B6N21EA Notebook	76299 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E2-1800 Dual-Core™ (1.70 GHz, 1 MB)		320GB SATA 5400rpm	AMD Radeon™ HD 7340	2,45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37,6 x 24,7 x 3,58 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS X55A-SX044D Fekete Notebook	77559 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® Dual-Core™ B820 (1.70 GHz)		320GB SATA 5400rpm	Intel® HD Graphics integrált VGA vezérlő	2.45 kg		6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	37.8 x 25.3 x 2.62 ~ 3.19 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
