TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
HP 630 A6F21EAP + Telenor Mobilinternet	86535 Ft	Nem	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Ajándék Táska, Telenor Hipernet Mobil Internet USB Stick 1GB adatforgalommal	376 x 247 x 31.8 mm	
DELL Inspiron N5050-145801 Red	86535 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	3in1 Card reader	Nincs	Nincs	Van	3db USB 2.0	Nem	376 x 260 x 29.7-33.8mm	
FUJITSU Lifebook A531 MRKB5HU	90472 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.4kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	Nincs	378 x 252 x 35,7-38.4 mm	
Packard Bell EasyNote F4211-HR-456HG	88110 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
Packard Bell EasyNote F4213-HR-235HG	88110 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	NVIDIA® GeForce® G610 / 1GB RAM	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
Packard Bell EasyNote F4244-HR-235HG	88110 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
TOSHIBA Satellite C850-17W	88897 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor B950 (2M Cache, 2.10 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	380,0 x 242,0 x 33,52 mm	
ASUS K53BR-SX015D	90472 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	ATI Mobility™ Radeon® HD7470M / 1GB VRAM	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	AMD A50M	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	378 x 253 x 35,6 / 37,2 mm	
ASUS P53E-SO212D	90472 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® Processor B970 (2M Cache, 2.30 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6Kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nem	http://www.youtube.com/watch?v=KtTpfs5H5-c&feature=player_embedded	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3 Mega Pixel	4in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	378 x 253 x 31,7-36 mm	
ASUS X54HR-SO119D	102283 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	320GB 5400RPM SATA	ATI Mobility™ Radeon® HD7470M / 1GB VRAM	2.6kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 1db USB 3.0	Nincs	370 x 256 x 31/35.5 mm	
DELL Inspiron N5040-140967 BLACK	95984 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor P6200 (3M Cache, 2.13 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM57 Express	10/100mbps LAN	Dell Wireless 1702 (802.11 b/g/n)	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	3in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	376 x 260 x 29.7-33.8mm	
ASUS K53BR-SX003D	90472 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	ATI Mobility™ Radeon® HD7470M / 1GB VRAM	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	AMD A50M	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	378 x 253 x 35,6 / 37,2 mm	
Packard Bell EasyNote F5211-HC-258HG	90472 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B970 (2M Cache, 2.30 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 620M 1024MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2-33,2 mm	
Acer Aspire E1-531G-B9604G50MNKS	90472 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GPU	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM70 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	5in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	381 x 254 x 33 mm	
HP 630 A6F12EA	92905 Ft	Nem	Intel® Core™ i3-380M Processor (3M Cache, 2.53 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Ajándék Táska	376 x 247 x 31.8 mm	
Packard Bell EasyNote F5211-HC-459HG	90472 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2-33,2 mm	
LENOVO IdeaPad G570GH 59-333863	90472 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Celeron® Processor B800 (2M Cache, 1.50 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Nincs	Nincs	Nincs	0.3MPixel webkamera	5in1 Card reader	Nincs	Nincs	Nincs	4db USB 2.0	Nincs	376.8 x 249.8 x 17.3-34.9mm	
HP 630 A6F12EA 4GB	90543 Ft	Nem	Intel® Core™ i3-380M Processor (3M Cache, 2.53 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Ajándék Táska	376 x 247 x 31.8 mm	
LENOVO IdeaPad G585A 59-334362	92834 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E1-1200 Dual-Core (1.4Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7310M	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A68M	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Nincs	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	376.8 x 249.8 x 17.3/34.9mm	
HP Pavilion G6-1211EH A5Q02EA	110157 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Llano A4-3300M (2M Cache, 1.9 - 2.5 GHz)	4GB DDR3/1066 MHz	640GB 5400RPM SATA	AMD Radeon™ HD 6510G2 Dual GPU	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD RS880M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	1.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	374 x 245 x 36.3 mm	
HP 630 A6F21EA	94409 Ft	Nem	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Ajándék Táska	376 x 247 x 31.8 mm	
LENOVO IdeaPad G580AH 59-340206	102283 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processzor B950 (2M Cache, 2.10 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	376 x 245 x 34.3 mm	
LENOVO IdeaPad G580GH 59-336871	94409 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	Intel® GMA HD 3000	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	376 x 245 x 34.3 mm	
FUJITSU Lifebook A531 MRKC5HU	102283 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® Processor B960 (2M Cache, 2.20 GHz)	2GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.4kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	Nincs	378 x 252 x 35,7-38.4 mm	
FUJITSU Lifebook A530 MRKA5HU	102283 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-380M Processor (3M Cache, 2.53 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.4kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	RealTek ALC260	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Nincs	Nincs	3db USB 2.0	Nincs	378 x 252 x 35,7-38.4 mm	
SAMSUNG NP300E5X-T01HU	94409 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT610 512MB	2.3kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1,3 megapixel felbontású webkamera	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	367.9 x 243 x 27.6-33.2mm	
ASUS K53BR-SX035D	98346 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	ATI Mobility™ Radeon® HD7470M / 1GB VRAM	2.6kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	AMD A50M	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	ASUS notebook hotdtáska; ASUS optikai egér	378 x 253 x 35,6 / 37,2 mm	
Packard Bell EasyNote TV43-HC-645HG	94409 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B980 (2M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
HP 630 A6F12EA 8GB	94480 Ft	Nem	Intel® Core™ i3-380M Processor (3M Cache, 2.53 GHz)	8GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Ajándék Táska	376 x 247 x 31.8 mm	
HP 630 C1M13EA 4GB	94480 Ft	Nem	Intel® Core™ i3-2310M Processor (3M Cache, 2.10 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	376 x 247 x 31.8 mm	
LENOVO ThinkPad Edge E135 NZV63HV	95197 Ft	11.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	AMD® E2-1800 Dual-Core (1.70GHz, 1MB L2)	4GB DDR3/1333 MHz	320GB 7200RPM SATA	AMD Radeon™ HD 7340M	1.54kg	12 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	FreeDos	AMD® A68M FCH	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2	Van	Van	Nincs	Nincs	HD720p kamera	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nincs	287 x 212 x 21.7-23mm	
Packard Bell EasyNote F4085-GN-464HG	106220 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor P6200 (3M Cache, 2.13 GHz)	4GB DDR3/1066 MHz	640GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nem	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
ASUS X55U-SX003V	96771 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	AMD Radeon™ HD 6320M	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	AMD A68M	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 26,2-31,9 mm	
ACER Aspire 4752Z-B9604G50MNBB	98346 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.25kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Dolby® Advanced Audio® v2	Van	Van	Nincs	Nincs	Acer Crystal Eye HD webcam	5in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	342 x 245 x 25.5/34.2 mm	
Packard Bell EasyNote F4087-GN-475HG	110157 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor P6200 (3M Cache, 2.13 GHz)	4GB DDR3/1066 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT610 / 1GB VRAM	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nem	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
Packard Bell EasyNote TS11-SB-452HG	102283 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Llano A4-3300M (2M Cache, 1.9 - 2.5 GHz)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	AMD Radeon™ HD6470 512MB	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD® A70M Fusion™	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
ACER Aspire 5560-63424G50MNBB	98346 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® Sabine A6-3420M (4M Cache, 1.5 - 2.4 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7480	2.88 kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	AMD A50M (Hudson M1) Fusion™	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	360 x 267 x 30.3/43 mm	
Packard Bell EasyNote TS11-HR-252HG	98346 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2,7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 34mm	
Acer Aspire E1-531-B9604G50MNKS W8	98346 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Intel® HM70 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	5in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	381 x 254 x 33 mm	
Packard Bell EasyNote F4244-HR-467HG	98346 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processzor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.7kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 1db USB 3.0	Nem	376 x 262 x 31,8 mm	
HP 630 C1M13EA 8GB	98417 Ft	Nem	Intel® Core™ i3-2310M Processor (3M Cache, 2.10 GHz)	8GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	376 x 247 x 31.8 mm	
