TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
Toshiba Satellite C850-179	116456 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Toshiba TruBrite® 16 : 9	Intel	Core i3	2310M 2.10 GHz	Elülső busz : 1,333 MHz 3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1333 MHz	bővíthetőség felső határa : 8,192 MB	320 GB	HDD	5,400 fordulat/perc	AMD/ATI	Radeon™ HD 7610M 1GB	Dedikált, saját memóriával		2.3 kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	lithium-ion maximális üzemidő : 4h30min (Mobile Mark™ 2007)	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Matt fekete mintázott felület, fekete billentyűzet	Igen	Magyar	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Lapos, matt fekete billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók (doboz nélkül) gyártó : Realtek (ALC269Q-VB6-GR)1 × külső mikrofon 1 × sztereó fejhallgató	USB 3.0, Webkamera, Numerikus billentyűzet, Memóriakártya olvasó, VGA, HDMI, Bluetooth	Bluetooth® 4.01 × külső monitor2 × USB 2.01 × USB 3.01 × HDMI-kimenet, 1080p jelformátum támogatása	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	WLAN	Wi-Fi® hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Külön vásárolható		Sz x H x M : 380.0 x 242.0 x 33.52 mm			1024 MB elkülönített videomemória. A rendelkezésre álló grafikus memória a rendszermemória használatával bővíthető a HyperMemory™ technológia segítségével: akár 2799 MB-ra 4 GB telepített rendszermemória mellett, illetve akár 4847 MB-ra 8 GB rendszermemória mellett (előre telepített 64 bites operációs rendszer esetén). memória típusa : DDR3 videomemória (illetve videomemória és rendszermemória kombinálva) csatlakoztatott busz : PCI Express®		Univerzális kétrétegű DVD-meghajtó			1024 MB	
Acer Aspire V3-731-B9804G50MAII	116606 Ft	17,3 "	1600x900 WXGA HD+	Fényes, LED	(220-nit) Acer CineCrystal™, 16:9	Intel	Pentium Dual Core	B980 2,4GHz	2MB L3 Cache, DDR3 1333 MHz, 35 W	4 GB	DDR3 1333 MHz	1 x 4 GB, max. 8GB	500 GB	HDD	5400 RPM, SATA	Intel	HD Graphics	Alaplapi integrált		3.2 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4h	DVD író	Mobile Intel® HM77 Express chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Szürke hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4 audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth® 4.0+HS, 2 x USB 2.0 és 2 x USB 3.0, 1 x VGA, 1 x HDMI	Multi-in-1 Kártyaolvasó (SD™, MMC, MS, MS PRO, xD)	720p HD Crystal Eye Webkamera 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi Gigabit Ethernet LAN	Külön vásárolható	Linux	414.8 (W) x 275 (D) x 31/34.65 (H) mm					8X DVD-Super Multi double-layer				
Packard Bell EASYNOTE F6211-HC-346HG	116842 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		Intel	Core i3	3110M - 2,40GHz	3MB cache	4 GB	DDR3 1333 MHz	2 slot / max. 8GB	500 GB	HDD	SATA 5400rpm	nVidia	GeForce® GT 630M 2GB	Dedikált, saját memóriával		2,6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cella	DVD író	Mobile Intel® HM77 Express	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			2.0 Hangszóró	Webkamera, HDMI, VGA, USB 3.0, Memóriakártya olvasó	VGA, HDMI, 2*USB 2.0, USB 3.0	5 az 1ben Kártyaolvasó	2,0Mpixel Webkamera	WLAN	Gigabit LAN / 802.11bgn WLAN	Külön vásárolható	Linux	381 x 253 x 25,2-33,2 mm					DVD-RW supermulti			2048 MB	
Acer Aspire V5-171-323a4G50ass_W7HP	118031 Ft	11,6 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™	Intel	Core i3	2377M 1.5GHz	DDR3 1333 MHz, 17W	4 GB		max. 8 GB	500 GB	HDD		Intel	HD Graphics 3000	Alaplapi integrált		1.38 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37 Wh 2500 mAh 14.8 V 4-cellás Li-ion max. 5h	Nincs	Mobile Intel® HM77 Express Chipset	Ultrahordozható	Notebook / Laptop	Új	Ezüst hátlap	Igen	Magyar	84-/85-/88-gombos teljes méretű Acer FineTip	Multi-gesture touchpad	High-definition audio stereo hengszórók, analog mikrofonHeadphone/speaker jack	Memóriakártya olvasó, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth® 4.0+HS 1*USB 3.0 port2*USB 2.0 portHDMI®, VGA	2-in-1 kártyaolvasó: Secure Digital™ (SD) Card, MultiMediaCard™ (MMC)	1.3MP Acer Crystal Eye 720p HD Webkamera 1280 x 1024	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-Fi LAN: Gigabit Ethernet	Windows 7 Home Premium	Acer Backup Manager Acer ePower Management Acer eRecovery Management Acer Instant Update Utility Microsoft® Office Starter 2010Norton™ Online Backup McAfee® Internet Security Suite próbaverzióMyWinLocker®Acer clear.fi Cyberlink® MediaEspresso Acer Identity Card Acer Registration Acer Updater	285 (W) x 202 (D) x 20.95/27.35 (H) mm	Service Pack 1	Magyar	Microsoft® DirectX® 10.1	64 bit					
Acer Aspire 5560G-63424G50Mnkk_W7HP	118031 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	(200-nit) Acer CineCrystal™	AMD	A6-Series	A6-3420 1.5Ghz	(Quad Core, 4Mb Cache)	4 GB		1x4GB, max. 8 GB	500 GB	HDD		AMD/ATI	Radeon™ HD 7670M 1GB	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4 óra	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Advanced Audio® v2stereo hangszórók, mikrofonHeadphone/speaker jackMicrophone-in jack	Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, VGA, HDMI	3 x USB 2.0, 1 x VGA, 1 x HDMI	Multi-in-1 Kártyaolvasó (SD™, MMC,MS,MS PRO, xD)	Acer Crystal Eye HD Webkamera: 1,3 megapixel	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiLAN: Gigabit Ethernet	Windows 7 Home Premium	• Acer Backup Manager• Acer ePower Management• Acer eRecovery Management• Norton™ Online Backup• McAfee® Internet Security Suite Trial• MyWinLocker®• Acer clear.fi• NTI Media Maker™• Oberon GameZone• Acer Crystal Eye• Acer Identity Card• Acer Registration• Acer Updater	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm					8X DVD-Super Multi double-layer			1024 MB	
Acer TravelMate 5760-32324G50MNKSL	118031 Ft	15,6 "	1366x768 WXGA HD	LED		Intel	Core i3	2328M 2,2GHz		4 GB		8GB-ig bővíthető	500 GB	HDD	S-ATA merevlemez	Intel	HD Graphics 3000	Alaplapi integrált		2.88 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48.8W 6-cellás lítium-ion akkumulátor akár 4 órás akkumulátor üzemidő	DVD író	Intel HM65 Chipset	Üzleti	Notebook / Laptop	Új	Ezüst hátlap	Igen	Magyar	# 88-/89 gombos Acer FineTouch™ billentyűzet 5 fokos hajlítással, fordított "T" kurzorelrendezés, 2,5 mm billentyűleütési út # 12 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok; beágyazott numerikus billentyűzet; nemzetközi nyelv támogatás # Empowering Gomb # Gyorsindító gombok: Internet, email, egy a felhasználó által programozható gomb # Speciális gombok: Presentation, Sync # Két, az előlapról elérhető gomb		HD audio támogatás Két beépített Acer 3DSonic sztereo hangszóró Acer PureZone technológia két beépített sztereo mikrofonnal; irányított hang, továbbá visszhangmentesítő és zajcsökkentő technológiák MS-Sound kompatibilis Beépített mikrofon 1 Fejhallgató-/hangszóró-/vonalkimenet csatlakozó 1 Mikrofon csatlakozó	Webkamera, Ujjlenyomat olvasó, HDMI, Memóriakártya olvasó, Dokkolócsatlakozó, VGA	3USB 2.0, HDMI, 1 csatlakozó külső kijelzőhöz (VGA)	5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD)Acer EasyPort IV csatlakozó	1.3 megapixel HD Webkamera Acer Ujjlenyomat olvasó	Modem, WLAN	Acer Nplify™802.11b/g/n (WiFi 2x2 BGN)Gigabit Ethernet1 Modem (RJ-11) csatlakozó	Külön vásárolható	Linux	360 x 267 x 30.3/43 mm		Magyar			DVD-SuperMulti duplarétegű író				
Lenovo Thinkpad Edge E430 8GB memóriával!	118102 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	Vibrant View, 200 nit, 16:9, 500:1	Intel	Core i3	2350M 2.30GHz	dual-core, 3MB Cache	8 GB	DDR3 1600 MHz	max. 8GB, PC3-12800 1600MHz DDR3, dual-channel képesség	500 GB	HDD	5400rpm SATA 3.0Gb/s, 2.5"Active Protection System™	Intel	HD Graphics 3000	Alaplapi integrált		2.15kg	1 év (1 év az akkura és töltőre)	Szerviz, Világ	6 Cellás 62Wh Lithium Ionmax. 6,4 óra	DVD író	Mobile Intel HM77 Express Chipset	Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	Magyar	6-soros, cseppálló, multimedia Fn gombok	UltraNav: touchpad (multi-touch) + TrackPoint, Internet Scroll Bar	High Definition (HD) Audio, Conexant 20671 codec / sztereo hangszórók: 2 watt x 2/Sztereo digitalis mikrofon, combo audio/mic jack	Webkamera, Ujjlenyomat olvasó, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.0, 3x USB 3.0, 1x USB 2.0, VGA DB-15, HDMI	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)	Webkamera UPEK Ujjlenyomat olvasó	WLAN	WiFi: Intel 2x2 BGNRealtek® RTL8111F Gigabit LAN	Külön vásárolható	DOS	339.4 x 234mm x 28.5-33.9mm					DVD CD Multi Burner (12.7mm)				
Acer TravelMate B113-M-323a4G50akk3 év garancia + véletlen sérülés biztosítás!	118653 Ft	11,6 "	1366x768 WXGA HD	LED, Matt	Acer ComfyView	Intel	Core i3	2377M 1.5GHz	DDR3 1333 MHz, 17W	4 GB	DDR3 1066 MHz	1x4GB, max. 8 GB	500 GB	HDD	Serial ATA	Intel	HD Graphics 3000	Alaplapi integrált		1,38kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4 cellás 2600 mAh (max. 5 órás üzemidő)	Nincs	Intel HM77 Express Chipset	Ultrahordozható, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar		TouchPad	Beépített hangszóró és mikrofon	Bluetooth, Webkamera, Memóriakártya olvasó, USB 3.0, VGA, HDMI	Bluetooth 4.0 / 1xUSB3.0 / 2xUSB2.0 / HDMI / VGA	2-in-1 kártyaolvasó :Secure Digital (SD) Card, MultiMediaCard (MMC)	CrystalEye Webkamera	WLAN	802.11bgn Wi-Fi Gigabit Ethernet	Külön vásárolható	Linux	27.4*285*202mm									
Toshiba Satellite C850-177	118890 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Toshiba TruBrite® 16 : 9	Intel	Core i3	2310M 2.10 GHz	Elülső busz : 1,333 MHz 3. szintű gyorsítótár : 3 MB	2 GB	DDR3 1333 MHz	bővíthetőség felső határa : 8,192 MB	320 GB	HDD	5,400 fordulat/perc	Intel	HD Graphics 3000	Alaplapi integrált		2.3 kg	2 év (1 év az akkura és töltőre)	Szerviz, Világ	lithium-ion maximális üzemidő : 5h30min (Mobile Mark™ 2007)	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Matt fekete mintázott felület, fekete billentyűzet	Nem	Magyar	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Lapos, matt fekete billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók (doboz nélkül) gyártó : Realtek (ALC269Q-VB6-GR)1 × külső mikrofon 1 × sztereó fejhallgató	Numerikus billentyűzet, HDMI, VGA, USB 3.0, Bluetooth, Memóriakártya olvasó, Webkamera	Bluetooth® 4.01 × külső monitor2 × USB 2.01 × USB 3.01 × HDMI-kimenet, 1080p jelformátum támogatása	Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	WLAN	Wi-Fi® hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Windows 7 Home Premium	A számítógépen a Microsoft® Word és az Excel program korlátozott funkcionalitású, reklámokat tartalmazó verziója található. PowerPoint és Outlook nélkül. A számítógépen előtelepített, teljes funkcionalitású Office csomag aktiválásához vásárold meg a Microsoft® Office 2010 terméket. McAfee® Internet Security (30 napos ingyenes előfizetéssel) Nero KwikMedia, Nero BackItUp és Burn Autobackup Toshiba Eco Utility™ Toshiba PC Health Monitor Toshiba Resolution+ beépülő modul a Windows Media Player lejátszóhoz Toshiba Tempro - ellenőrzi, hogy megvannak-e a laptopon a legújabb Toshiba szoftverfrissítések Toshiba webkamera-alkalmazás Toshiba Recovery Media Creator WildTangent Games Console Toshiba Disc Creator	Sz x H x M : 380.0 x 242.0 x 33.52 mm	előtelepített, Toshiba-HDD recovery	Magyar	akár 781 MB megosztott memória 2 GB telepített rendszermemória mellett, illetve akár 1696 MB memória 4 GB rendszermemória mellett (előre telepített 64 bites operációs rendszer esetén) memória típusa : megosztott	64 bit	Univerzális kétrétegű DVD-meghajtó				
Asus X54HR-SO205D	119204 Ft	15,6 "	1366x768 WXGA HD	LED	16:9	Intel	Core i3	2350M - 2.3GHz	5GT/s / 3MB Cache	4 GB	DDR3 1333 MHz	max. 8GB	500 GB	HDD	2,5 hüvelykes, SATA 5400rpm	AMD/ATI	Radeon® HD 7470M 1GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4 cellás : 2600mAh 37 wattórás	DVD író	Intel® HM65 Express lapkakészlet	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			Beépített hangszóró és mikrofonAltec Lansing® hangszórók1 db Mikrofon-bemenet1 db fejhallgató ki jack (SPDIF)	HDMI, Memóriakártya olvasó, Webkamera, Numerikus billentyűzet, USB 3.0, VGA, Bluetooth	Bluetooth 2.1 + EDR, 1 db VGA csatlakozó/Mini D-sub 15 érintkezőlábas csatlakozó külső monitorhoz1 db USB 3.0 csatlakozó 1 db USB 2.0 csatlakozó1 db HDMI	4 -in-1 kártyaolvasó ( SD/ MS/ MS Pro/ MMC)	0.3 megapixeles webkamera - 640x480 felbontással	WLAN	WIFI 802.11 b/g/n10/100/1000BaseT LAN	Külön vásárolható	FreeDOS	37.8 x 25.3 x 3.56 ~3.72 cm (szélesség x mélység x magasság)	Támogatás: Windows 7				Super-Multi DVD			1024 MB	
Dell Inspiron 5520 (15R)	198023 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	TrueLife	Intel	Core i7	3632QM 2.2GHz	max. 3.2GHz	8 GB	DDR3 1600 MHz	(2x4096)	1024 GB	HDD	Serial ATA (5400RPM)	Intel	Radeon HD 7670M 1GB	Dedikált, saját memóriával		Kezdő tömeg: 2,74 kg	3 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás, 48 Wh-s lítiumion akkumulátor	DVD író	Mobile Intel® 7 Series Express chipkészlet (HM77)	Játék/3D grafika	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar			Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiávalBeépített digitális mikrofonFejhallgató-csatlakozó,Mikrofoncsatlakozó	Memóriakártya olvasó, HDMI, VGA, USB 3.0, Bluetooth, Webkamera	Bluetooth V4.0(3) USB 3.0 + (1) USB 3.0 PowerShareHDMI™ v1.4a, VGA	8 az 1-ben médiakártya-olvasó (SD, SDXC, SDHC, MMC, MMC+, MS, MS Pro, xD)	Natív HD 1,0MP webkamera digitális mikrofonnal	WLAN	Intel Wireless 2230 (802.11n)Ethernet 10/100	Windows 8	Ubuntu Linux v11.10	Szélesség: 378 mm Magasság: elöl 30,03 mm / hátul 34,1 mmMélység: 252 mm	SP1 (MUI)	Magyar		64 bit	Beépített, tálcás betöltésű DVD+/-RW		opcionális cserélhető fedlap!	1024 MB	
Asus X54HY-SO120D	120149 Ft	15,6 "	1366x768 WXGA HD	Fényes	16:9	Intel	Core i3	2330M 2,2GHz		2 GB	DDR3 1333 MHz	max. 4GB	320 GB	HDD	SATA	AMD/ATI	Mobility Radeon HD6470M 1GB DDR3	Dedikált, saját memóriával		2,6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	4 cellás	DVD író	Mobile Intel® HM65 Express	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			1x Microphone-in jack, 1x Headphone-out jack	Bluetooth, Memóriakártya olvasó, VGA, Webkamera, HDMI, USB 3.0	Bluetooth, HDMI, VGA, 1x USB 2.0, 1x USB 3.0	4 az 1ben Kártyaolvasó	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	WIFI: 802.11b, g, n10/100/1000 LAN	Külön vásárolható	FreeDOS	378 x 253 x 35,6-37,2 mm	Támogatás: Windows 7				DVD SuperMulti DL			1024 MB	
Asus X54HR-SO087D	121330 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	16:9	Intel	Core i3	2350M - 2.3GHz	5GT/s / 3MB Cache	4 GB	DDR3 1333 MHz	max. 8GB	750 GB	HDD	2,5 hüvelykes, SATA 5400rpm	AMD/ATI	Radeon® HD 7470M 1GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	4 cellás : 2600mAh 37 wattórás	DVD író	Intel® HM65 Express lapkakészlet	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar			Beépített hangszóró és mikrofonAltec Lansing® hangszórók1 db Mikrofon-bemenet1 db fejhallgató ki jack (SPDIF)	Webkamera, Memóriakártya olvasó, HDMI, VGA, USB 3.0, Bluetooth, Numerikus billentyűzet	Bluetooth, 1 db VGA csatlakozó/Mini D-sub 15 érintkezőlábas csatlakozó külső monitorhoz1 db USB 3.0 csatlakozó 1 db USB 2.0 csatlakozó1 db HDMI	4 -in-1 kártyaolvasó ( SD/ MS/ MS Pro/ MMC)	0.3 megapixeles webkamera - 640x480 felbontással	WLAN	WIFI 802.11 b/g/n10/100/1000BaseT LAN	Külön vásárolható	FreeDOS	37.8 x 25.3 x 3.56 ~3.72 cm (szélesség x mélység x magasság)					Super-Multi DVD			1024 MB	
Sony VAIO SVE11	121567 Ft	11,6 "	1366x768 WXGA HD		Széles (16:9) VAIO kijelző	AMD	E-Series	E2-1800 1,7GHz	1MB L2 Cache	4 GB	DDR3 1333 MHz	4 GB (SO-DIMM) x1, max. 8GB	500 GB	HDD	SATA 5400rpmMerevlemez rázkódásának védelme	AMD/ATI	Radeon™ HD 7340	Alaplapi integrált		1,5kg	2 év (1 év az akkura és töltőre)	Szerviz	Lítium-ionmax. 6 óra (Teszt: MobileMark 2007)		AMD A68M FCH	Ultrahordozható	Notebook / Laptop	Új	Rózsaszín / Lila hátlap	Nem	Magyar	Assist, WEB, VAIO gombok, vezeték nélküli kapcsoló	Érintőpárna (kézmozdulat felismerése támogatott)	Belső sztereó hangfalak, xLOUD™Belső monó mikrofonMikrofon: Sztereó, minidugasz x1Fejhallgató csatlakozó: Sztereó, minidugasz x1	USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth, VGA, HDMI	Bluetooth® 4.0 + HS2 db USB 2.0 (A típusú csatlakozó), 1 db USB 3.0, USB-töltéssel (A típusú csatlakozó)HDMI, VGA mini D-Sub 15 tűs	1x Kombinált Memory Stick Duo™ / SD-memóriakártya hely (egyszerre történő használat nem lehetséges)Memory Stick PRO™ kompatibilis, a másolásvédelmet nem támogatja1x SD kártyanyílás: SDHC- és SDXC-kompatibilis, a másolásvédelmet nem támogatja	1,31MP „Exmor for PC” HD webkamera 1280 x 1024	WLAN	IEEE 802.11b/g/n Vezetéknélküli LAN 1000BASE-T/100BASE-TX/10BASE-T Ethernet	Windows 7 Home Premium	VAIO Gate, VAIO Care, VAIO Transfer Support, VAIO Update, VAIO Smart networkElőre betöltött Office 2010 – a teljes aktiváláshoz az Office 2010 termékkód beszerzése szükségesMcAfee Internet Security 30 napos előfizetés, McAfee Online Backup 30 napos előfizetésTávoli billentyűzet, távoli játék PlayStation® 3 készülékkelPlayMemories Home	203,5*23,5*290mm	1-es javítócsomaggal	Magyar		64 bit					
Acer TravelMate P453-M-B9804G50MAKL3 év garancia + véletlen sérülés biztosítás	121567 Ft	15,6 "	1366x768 WXGA HD	LED		Intel	Pentium Dual Core	B980 2,4GHz	2MB L3 Cache, DDR3 1333 MHz, 35 W	4 GB		max. 8 GB	500 GB	HDD		Intel	HD Graphics	Alaplapi integrált		2.5 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	6-cellás Li-ion 48Wh 4400mAh max. 4 óra	DVD író	Mobile Intel® HM77 Express Chipset	Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	105-/106-/109-gombos Acer FineTouch™	Multi-gesture touchpad	sztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack 3.5 mm	ExpressCard, Memóriakártya olvasó, Numerikus billentyűzet, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth 4.0, USB 3.0, 2*USB 2.0, HDMI®, VGA	Multi-in-1 kártyaolvasó (SD™, MMC, MS, MS PRO, xD)ExpressCard®/54 slot	Acer Crystal Eye 720p HD Webkamera 1280 x 1024 TPM modul	WLAN	Acer Nplify 802.11a/g/n (3rd WiFi 2x2 AGN)Gigabit Ethernet LAN	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.74/33.8 (H) mm					8X DVD-Super Multi double-layer				
Acer Aspire V3-551G-64408G75Maii	121882 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	(200-nit) Acer CineCrystal™	AMD	A6-Series	4400M 2,7GHz		4 GB	DDR3 1333 MHz	1*4GB, max. 8 GB	750 GB	HDD	5400rpm	AMD/ATI	Radeon™ HD 7670M 2GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ion max. 5 óra	DVD író	AMD A70M Fusion™	Játék/3D grafika	Notebook / Laptop	Új	Szürke hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4 High-definition audio stereo hangszórók és mikrofonHeadphone/speaker jack, Microphone-in jack 3.5 mm	HDMI, VGA, USB 3.0, Memóriakártya olvasó, Webkamera, Numerikus billentyűzet	USB 3.0 port2 USB 2.0HDMI®, VGA	Multi-in-1 Memóriakártya olvasó (SD™, MMC, MS PRO, xD)	720p HD Webkamera 1280 x 1024	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi LAN: Gigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			Unified Video Decoder 3 (UVD 3), OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			2048 MB	
Acer Aspire V3-531G-B9804G50MaiiW	121882 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Acer CineCrystal™ (200-nit)	Intel	Pentium Dual Core	B980 2.4GHz	2MB L3 cache, DDR3 1333 MHz, 35 W, Intel® Smart Cache	4 GB		max. 8 GB	500 GB	HDD		Intel	HD Graphics	Alaplapi integrált		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4.5 h	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Szürke hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4 audiosztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack	Memóriakártya olvasó, Webkamera, Numerikus billentyűzet, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.02x USB 2.0 1x USB 3.01x HDMI™, VGA	Multi-in-1 kártyaolvasó (SD™, MMC, MS PRO, xD)	720p HD webkamera 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-FiGigabit Ethernet	Windows 8		381.6 (W) x 253 (D) x 25.2/33.2 (H) mm		Magyar			8X DVD-Super Multi double-layer				
