TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
ASUS ZenBook UX31A-R5006V	250991 Ft	 13,3"	 1600x900	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,3 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 2 db		 128 GB		
ASUS ZenBook UX32A-R3001V	187763 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-2367M 1.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 3 db		 24 GB		
ASUS ZenBook UX32A-R3008H	235763 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2 kg	 Nincs	 Windows 8	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 3 db		 24 GB		
ASUS ZenBook UX32VD-R3001V	227888 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 620	 1,45 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 3 db		 24 GB		
ASUS ZenBook UX32VD-R4002V	261629 Ft	 13,3"	 1366x768	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 620	 1,45 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Igen	 Nem	 Nem	 Magyar	 3 db		 24 GB		
DELL Inspiron 1018 Fekete 124803	60661 Ft	 10,1"	 1024x600	 Nem	 Intel ATOM N455 1.66GHz	 1GB	 DDR3	 250 GB	 Intel GMA X3150	 1,2 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 1018 Fekete 128724	54585 Ft	 10,1"	 1024x600	 Igen	 Intel ATOM N455 1.66GHz	 2GB	 DDR3	 320 GB	 Intel GMA 3150	 1,2 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 1018 Fekete 145671	71395 Ft	 10,1"	 1024x600	 Igen	 Intel ATOM N455 1.66GHz	 1GB	 DDR3	 250 GB	 Intel GMA 3150	 1,2 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 1018-18 Fekete	60114 Ft	 10,1"	 1024x600	 Igen	 Intel ATOM N455 1.66GHz	 2GB	 DDR3	 320 GB	 Intel GMA 3150	 1,2 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 1018-21 Fekete	62686 Ft	 10,1"	 1024x600	 Igen	 Intel ATOM N455 1.66GHz	 1GB	 DDR3	 250 GB	 Intel GMA 3150	 1,2 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 1018-22 Fekete	60661 Ft	 10,1"	 1024x600	 Igen	 Intel ATOM N455 1.66GHz	 1GB	 DDR3	 250 GB	 Intel GMA 3150	 1,2 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 3520 Fekete 146234	103844 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,37 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 3520-1 Fekete	84170 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,37 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 3520-2 Fekete	78991 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B820 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,37 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst 141671	135382 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst 141745	140858 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst 141795	125140 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst 144234	136903 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Ezüst 146046	119664 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst 146050	169613 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst 146157	154082 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 6GB	 DDR3	 750 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst 146162	159529 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 6GB	 DDR3	 1000 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst DI5520A-2370M-4GH50D6MS	127685 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst DI5520A-2370M-6GH1TD6MS	135666 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 6GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst DI5520A-3110M-4GH50D6MS-11	131681 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Ezüst DI5520I-2370M-4GH50D6MS	115107 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Fehér 146053	169613 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Fehér 146165	159529 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 6GB	 DDR3	 1000 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Fehér DI5520A-3110M-4GH50D6WH-11	132471 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Kék 141797	125140 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Kék 141802	140858 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Kék 144220	143191 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Kék 144221	128284 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Kék 144224	136903 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Kék 146052	169613 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Kék 146164	159529 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 6GB	 DDR3	 1000 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Kék DI5520A-3110M-4GH50D6BL-11	132471 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Narancs 141744	135382 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Narancs DI5520A-3110M-4GH50D6OR-11	132471 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Pink 141742	135382 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Pink 144238	147440 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Piros 141739	135382 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Piros 141801	140858 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Piros 144223	136903 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Piros 144232	128284 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5520 Piros 146051	169613 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Piros 146158	154082 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 6GB	 DDR3	 750 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520 Piros 146163	159529 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 6GB	 DDR3	 1000 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-1 Ezüst	136933 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-10 Fehér	132715 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-11 Ezüst	153862 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-12 Ezüst	169511 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-13 Ezüst	172013 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3632 2.20GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-2 Kék	137400 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-3 Piros	137400 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-5 Narancs	137400 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-6 Fehér	137400 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7670	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-7 Ezüst	132249 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-8 Kék	132715 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5520-9 Piros	132715 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,9 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Inspiron 5720 Ezüst 146166	129095 Ft	 17,3"	 1600x900	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 3,28 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5720 Ezüst 146168	136903 Ft	 17,3"	 1600x900	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 3,28 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5720 Ezüst 146169	154082 Ft	 17,3"	 1600x900	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 3,28 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5720 Ezüst DI5720N-2370M-4GH50D6MS	143656 Ft	 17,3"	 1600x900	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 3,28 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 5720-1 Ezüst	146567 Ft	 17,3"	 1600x900	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 3,28 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 7520 SE 146188	172739 Ft	 15,6"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 6GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7730	 2,76 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 7520 SE 146189	182822 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3612 2.10GHz	 8GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7730	 2,76 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
DELL Inspiron 7520 SE DI7520A-3210M-4GH1TBD6AL	154759 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 1000 GB	 ATi Mobil RadeOn HD7730	 2,76 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 4 db				
