TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Audio	LAN	WLAN	Modem	Portok	CR	Bill.	Egyéb	Állapot	Méret	Ajándék	2. Merevlemez mérete
Asus K53SD -SX1241D Notebook	110157 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Pentium™ M Dual-Core processzor B970	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	2048 MB	2.60 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 33,1-34,9 mm			
Acer V3-531G- B9704G50Makk Notebook	110945 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Pentium™ M Dual-Core processzor B970	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT630M	1024 MB	2.40 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Lenovo ThinkPad Edge E335 Notebook	111732 Ft	13.30 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800	1700 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Radeon™ HD 7340	- MB	1.75 Kg	1 év	6 cella	opció	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Packard Bell EASYNOTE TK81-SB-465HG Notebook	111732 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD Phenom processzor X4 N970	2200 MHz	4096 MB	DDR3 1066MHz	640 GB	5400 rpm	AMD Radeon HD6650	1024 MB		1 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MMC	magyar	Webcamera	új				
Packard Bell EASYNOTE TK85-GN-451HG Notebook	112520 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel&reg Pentium™ Dual-Core processzor P6200	2100 MHz	4096 MB	DDR3 1066MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 520M	1024 MB	2.60 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	SD, MMC	magyar	Webcamera	új				
Toshiba Satellite C855-12Q Notebook	112520 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	6144 MB	DDR3 1333MHz	640 GB	5400 rpm	Intel® HD Graphics	- MB	2.30 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MMC, micro SD, SDHC, SDXC	magyar	HD Webcamera	új	380.0 x 242.0 x 33.52 mm			
Asus K53SD -SX1239D Notebook	113307 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Pentium™ M Dual-Core processzor B970	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 610M	2048 MB	2.60 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 33,1-34,9 mm			
Asus K53BR -SX015V Notebook	114094 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E-450	1650 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7470M	1024 MB	2.60 Kg	2 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 35,6-37,2 mm			
Packard Bell EASYNOTE TK81-SB-475HG Notebook	114882 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD Phenom processzor X4 N970	2200 MHz	4096 MB	DDR3 1066MHz	750 GB	5400 rpm	AMD Radeon HD6650	1024 MB		1 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MMC	magyar	Webcamera	új				
Samsung NP300E5Z -S02HU Notebook	114882 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 2310M	2100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 520MX	512 MB	2.34 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció		10/100/1000Mbps, WLAN a/b/g/n	igen	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	SD, MS Pro, MMC, XD	magyar	Webcamera	új	366.9 x 240 x 29.9 x 31.6 mm			
