TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
DELL Inspiron 7520 notebook (alu)	177874 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3612QM	Intel	Core i7	4	2,10 GHz	3,1 GHz	Igen	6 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	1000 GB	HDD			Radeon HD 7730M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,1	2,8 kg	DELL Inspiron 7520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	30 mm			4 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
HP Probook 6475b notebook	173929 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A6-4400M	AMD	A6 Series	2	2,70 GHz	3,2 GHz	Igen	1 MB	0 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7520G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,2	2,0 kg	HP Probook 6475b 6-cell	6	55 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 64xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	338 mm	213 mm	34 mm		Igen	2 db USB3	Igen	Igen		Igen	65 W	7200 fordulat/perc	Igen		Igen					Igen					
DELL Inspiron 5520 notebook (kék)	129055 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,7 kg	DELL Inspiron 5520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	30 mm			4 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
DELL Inspiron 5520 notebook (piros)	129055 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,7 kg	DELL Inspiron 5520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	30 mm			4 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
HP Probook 6560b notebook (Renew*)	148819 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2410M	Intel	Core i5	2	2,30 GHz	2,9 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,6 kg	HP Probook 6560b 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 65xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	374 mm	250 mm	34 mm		Igen	0 db USB3	Igen	Igen		Igen	90 W	7200 fordulat/perc	Igen		Igen			Igen		Igen	Igen	Igen	Igen		
LENOVO Ideapad Z585A notebook	144015 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A6-4400M	AMD	A6 Series	2	2,70 GHz	3,2 GHz	Igen	1 MB	0 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	1000 GB	HDD			Radeon HD 7670M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,6 kg	LENOVO IdeaPad Z585 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Z	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	250 mm	33 mm			2 db USB3		Igen		Igen		5400 fordulat/perc						Igen							
LENOVO IdeaPad S300 notebook (szürke)	107000 Ft	13.3" HD (1366x768) VibrantView LED	WXGA	13,3 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 987	Intel	Pentium	2	1,50 GHz	1,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD	500 GB	HDD	GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,8 kg	LENOVO IdeaPad S300 4-cell	4	32 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad S	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2			330 mm	230 mm	22 mm			1 db USB3		Igen		Igen	40 W	5400 fordulat/perc													
LENOVO Ideapad Z580A notebook	152669 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD			GeForce GT 630M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,7 kg	LENOVO IdeaPad Z580 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	LENOVO IdeaPad Z	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	250 mm	33 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
HP Probook 4540s notebook (Renew*)	149527 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7650M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,3 kg	HP Probook 4540s 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 45xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	375 mm	256 mm	28 mm	3G/HSDPA		2 db USB3		Igen		Igen	90 W	7200 fordulat/perc						Igen							
SONY VAIO C széria notebook (zöld)	165267 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6470M	ATI	Radeon	dedikált (közép kategória)	0,5 GB	GDDR3	40 nm	11,0	5,0	4,1	1,4 kg	SONY VAIO C series 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit		belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	341 mm	235 mm	28 mm			1 db USB3		Igen	Igen			5400 fordulat/perc			Igen										
SONY VAIO C széria notebook (narancssárga)	165267 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 6470M	ATI	Radeon	dedikált (közép kategória)	0,5 GB	GDDR3	40 nm	11,0	5,0	4,1	1,4 kg	SONY VAIO C series 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit		belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	341 mm	235 mm	28 mm			1 db USB3		Igen	Igen			5400 fordulat/perc			Igen										
HP Pavilion dv7-6b62ef Steel Grey notebook (Renew*)	164567 Ft	17.3" HD+ (1600x900) BrightView LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2430M	Intel	Core i5	2	2,40 GHz	3,0 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	750 GB	HDD			Radeon HD 6490M / 1GB	ATI	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	3,4 kg	HP Pavilion dv7-6xxx 6-cell	6	55 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion dv7	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	416 mm	275 mm	36 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
DELL Inspiron 5520 notebook (rózsaszín)	164480 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7670M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,7 kg	DELL Inspiron 5520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	30 mm			4 db USB3		Igen		Igen		5400 fordulat/perc													
LENOVO Ideapad Z580A notebook (fehér)	164480 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			GeForce GT 630M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,0	2,7 kg	LENOVO IdeaPad Z580 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Z	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	250 mm	33 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
DELL Inspiron 5520 notebook (narancs)	164480 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7670M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,7 kg	DELL Inspiron 5520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	30 mm			4 db USB3		Igen		Igen		5400 fordulat/perc													
DELL Inspiron 5520 notebook (fehér)	129055 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,7 kg	DELL Inspiron 5520 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	252 mm	30 mm			4 db USB3		Igen		Igen	90 W	5400 fordulat/perc													
DELL Vostro 2520 notebook (ezüst)	140071 Ft																																																																																																						
DELL Latitude E5530 notebook DELL Latitude E5530 DELL Latitude E5530	160543 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,4 kg	DELL Latitude E5530 6-cell	6	60 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Latitude E5xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	388 mm	251 mm	30 mm	foglalat	Igen	2 db USB3		Igen	Igen	Igen	65 W	7200 fordulat/perc			Igen			Igen		Igen					
SAMSUNG 300E notebook (ezüst)	89685 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B970	Intel	Pentium	2	2,30 GHz	2,3 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,3 kg	SAMSUNG 300E 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	SAMSUNG 300E	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	368 mm	243 mm	28 mm			0 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
HP Pavilion g6-2032sh Sparkling Black notebook	158181 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			Radeon HD 7670M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,5 kg	HP Pavilion g6-2xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	244 mm	36 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
HP Probook 4730s notebook (Renew*)	141653 Ft	17.3" HD+ (1600x900) AG LED	WXGA++	17,3 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			Radeon HD 6490M / 1GB	ATI	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	3,1 kg	HP Probook 4730s 8-cell	8	73 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 47xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	414 mm	279 mm	29 mm		Igen	1 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen						Igen	
HP Probook 6460b Business notebook (akciós*)	141653 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2520M	Intel	Core i5	2	2,50 GHz	3,2 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	250 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,2 kg	HP Probook 6460b 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL LS	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit eng	Windows 7	Professional	Angol	64 bit	HP ProBook 64xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Angol billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	338 mm	231 mm	34 mm		Igen	0 db USB3	Igen	Igen		Igen	65 W	7200 fordulat/perc	Igen		Igen					Igen		Igen		Igen	
HP Pavilion dv6-6150sl Steel Grey notebook (akciós*)	149527 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2410M	Intel	Core i5	2	2,30 GHz	2,9 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6770M / 2GB	ATI	Radeon	dedikált (felső kategória)	2,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,9 kg	HP Pavilion dv6-6xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion dv6	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	378 mm	247 mm	35 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
HP Probook 4540s notebook	156606 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,3 kg	HP Probook 4540s 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	HP ProBook 45xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	375 mm	256 mm	28 mm			2 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
ACER V5-471G notebook (kék)	156606 Ft	14.0" HD (1366x768) CrystalBright LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2377M	Intel	Core i3	2	1,50 GHz	1,5 GHz	Igen	3 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 620M / 1GB	NVIDIA	GeForce	dedikált (belépő szint)	1,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,1 kg	ACER V5 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	ACER V5	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	342 mm	245 mm	20 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
DELL Inspiron 5720 notebook (ezüst) DELL Inspiron 17R (5720) DELL Inspiron 17R (5720)	129842 Ft	17.3" HD+ (1600x900) TrueLife LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	3,3 kg	DELL Inspiron 5720 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 17R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	417 mm	276 mm	32 mm			4 db USB3		Igen		Igen		5400 fordulat/perc						Igen							
